text,label
"topological nontrivial phase in hexagonal antiperovskites a3bib (a=ba,sr; b=p,n)",19
uncertainty in the context of multislit interferometry,15
"nonminimal coupling, equivalence principle and exact foldy-wouthuysen transformation",6
fluctuations and intrinsic pinning in layered superconductors,4
orbits of four young triplelined multiple systems,18
three-loop superfiniteness of n=8 supergravity,10
exact nonmarkovian evolution with multiple reservoirs,15
characterizing transiting extrasolar planets with narrow-band photometry and gtc/osiris,11
from copenhagen to neocopenhagen interpretation,15
the 2-dimensional nonlinear sigma-model on a random latice,16
multipartite entanglement and hyperdeterminants,15
implementation of local chiral interactions in the hyperspherical harmonics formalism,14
charmed hadron interactions,16
$so(5)_{q}$ and contraction,10
dynamical supersymmetry breaking simplified,3
exchange currents for hypernuclear magnetic moments,14
a semiclassical approach to fusion reactions,14
star streams in triaxial isochrone potentials with subhalos,9
"reissner-nordstr\""om geometry counterpart in semiclassical gravity",6
multiscale simulation of history dependent flow in polymer melt,7
reconstruction mechanism of fcc transitionmetal (001) surfaces,4
phase coherent transport in bilayer and trilayer mos2,8
revealing polymerization kinetics with colloidal dipatch particles,7
nonmonotonic quantum to classical transition in multiparticle interference,15
observation of tau neutrino charged-current interactions,5
gauge invariance and lattice monopoles,16
nondiffracting broadband incoherent space-time fields,12
noncommutative multiinstantons on r^{2n} x s^2,10
equatorial superrotation on tidally locked exoplanets,11
on-chip broadband nonreciprocal light storage,12
extracting the internal nonlocality from the dilated hermiticity,15
chain-like transitions in wigner crystals: sequential or nonsequential?,8
formation of multiplesatellite systems from low-mass circumplanetary particle disks,11
ivoa compliant services for the macho data archive,9
antisymplectic gauge theories,10
magnon-polaron excitations in the noncollinear antiferromagnet mn$_3$ge,0
phase transitions in mesoscopic superconducting films,2
pseudodiffusive magnetotransport in graphene,8
prospects for early top antitop resonance searches in atlas,5
on conformal supergravity and harmonic superspace,10
nonperturbative beta-function in su(2) lattice gauge fields thermodynamics,16
supersymmetric minisuperspace with nonvanishing fermion number,6
anihelium flux from antimatter globular cluster,13
thermal transport across a continuous metal-insulator transition,0
high efficiency nondistortion quantum interrogation of atoms in quantum superpositions,15
a gaussian theory of superfluidboseglass phase transition,4
towards minimal su(5),3
magneto-optics of organic crystalline field effect transistors,4
multicolor localization microscopy by deep learning,12
consistent multiphasefield theory for interface driven multidomain dynamics,19
sequential transmission matrix evaluation via spatiotemporal transmitted modes decomposition,12
trion ladder diagrams,8
multiparticle correlations at lep1,5
theoretical modelling of langmuir monolayers,7
transmission function properties for multilayered structures: application to superresolution,12
extracting science from surveys of our galaxy,9
search for supersymmetry at the cms in all-hadronic final state,5
structure and evolution of pulsating hot subdwarfs,18
energy superdiffusion in one-dimensional momentum nonconserving nonlinear lattices,17
interference fading suppression in phi-otdr using space-division multiplexed probes,12
carbon monoxide in the cassiopeia a supernova remnant,18
nonequilibrium models of relativistic heavy-ion collisions,14
supersymmetric localization in glsms for supermanifolds,10
vortex multiplication in applied flow: the precursor to superfluid turbulence,7
multiboson effects in bose-einstein interferometry and the multiplicity distribution,3
multiplicity difference correlators under first-order qgp phase transition,3
noncustodial warped extra dimensions at the lhc,3
perturbative interaction approach to cosmological structure formation,1
multiband thermal transport in the iron-based superconductor ba1 xkxfe2as2,2
superyangmills and m5-branes,10
degeneracies in triple gravitational microlensing,11
toward air-stable multilayer phosphorene thin-films and transistors,19
statistics of polymer adsorption under shear flow,7
"localization effects in bi2sr2ca(cu,co)2o8+y high temperature superconductors",4
rotational evolution of solar-type protostars during the star-disk interaction phase,18
particle acceleration in relativistic outflows,13
spectrum of outgoing nucleons in quasielastic neutrino-nucleus interactions,14
a nested krylov subspace method for the overlap operator,16
"magnetic and transport properties of (la,sr)mno$_3$",4
static and nonstatic vector screening masses,16
polarizabilities of nonreciprocal bianisotropic particles,12
nonlocal exchange interactions in strongly correlated electron systems,0
"pseudospin order in monolayer, bilayer, and double-layer graphene",8
generation of nonlocality,15
no variations in transit times for qatar-1 b,11
recursion formulas for nonlinear density fluctuations near the glass transition,17
topological transition in a nonhermitian quantum walk,8
co j=2-1 observations toward the supernova remnant g54.1+0.3,9
low energy alpha-alpha semimicroscopic potentials,14
pulse interactions in weakly nonlinear coherent optical communication links,12
gr effects in supernova neutrino flavor transformation,13
a cratered photonic crystal cavity mode for nonlocal exciton-photon interactions,12
a multifrequency view of starburst galaxies,13
wasp-29b: a saturn-sized transiting exoplanet,11
pulse propagation methods in nonlinear optics,12
understanding permutation symmetry,15
minimal constrained supergravity,10
nesting mechanism for d-symmetry superconductors,4
nonmetric interaction rules in models of active matter,7
cauchy problem on nonglobally hyperbolic spacetimes,10
the zadko telescope: exploring the transient universe,13
an optimal nonlinear method for simulating relic neutrinos,1
intermittent transport of bacterial chromosomal loci,7
the herschel multitiered extragalactic survey: hermes,1
an accurate comprehensive approach to substructure: i. accreted subhaloes,1
growth of aggregates with liquid-like ice-shells in protoplanetary discs,11
duality and supersymmetric monopoles,10
polyelectrolyte multilayering on a charged sphere,7
spin transport at interfaces with spin-orbit coupling: formalism,8
the nonmesonic weak decay of double-lambda hypernuclei: a microscopic approach,14
light meson spectrum with $n_f=2+1$ dynamical overlap fermions,16
amplitude variations in pulsating yellow supergiants,18
dual superconductivity in g2 group,16
long-term x-ray variability of ultraluminous x-ray sources,13
multipleplanet scattering and the origin of hot jupiters,11
vertical transport of subwavelength localized surface electromagnetic modes,12
electronic structure and magnetic state of transuranium metals under pressure,0
to the nature of intermediate and short-range nucleon-nucleon interaction,14
spectroscopy of type ia supernovae by the carnegie supernova project,1
spin down of protostars through gravitational torques,18
anomalous hall antiferromagnets,19
phase transitions triggered by dumbbell equipotential hypersurfaces,17
nonlocal andreev reflection at high transmissions,2
spin stiffness of stacked triangular antiferromagnets,17
three-dimensional chiral skyrmions with attractive interparticle interactions,8
magnetic phase transitions and superconductivity in strained fete,2
evidence for an anhydrous carbonaceous extrasolar minor planet,11
strain induced metal-insulator transition in ultrathin films of srruo$_3$,19
the extragalactic ultrahigh energy cosmic-ray dipole,13
supramolecular transmission of soliton-encoded bit streams over astronomical distances,12
superconducting dark matter,1
weak localization in semiconductor multiquantum well structures,4
two-dimensional melting under quenched disorder,7
quantized electrochemical transport in weyl semimetals,8
localizing transformations of the galaxy-galaxy lensing observable,1
spin transport at interfaces with spin-orbit coupling: phenomenology,8
interior models of uranus and neptune,11
evaluation of counterfactuality in counterfactual communication protocols,15
hadronic interaction of the eta meson with two nucleons,5
accessing transversity with interference fragmentation functions,3
supersymmetry beyond minimal flavour violation,3
searches for r-parity violating supersymmetry at hera,5
the 3-dimensional architecture of the upsilon andromedae planetary system,11
structure of protoplanetary discs with magnetically-driven winds,9
noncritical pure spinor superstrings,10
"a tunable, nonlinear hong-ou-mandel interferometer",15
antiferromagnetmediated spin transfer between metal and ferromagnet,8
parametrization of stochastic multiscale triads,17
multiple half-quantum vortices in rotating superfluid $^3$he,2
progress in automated perturbation theory for heavy quark physics,16
the particle interpretation of n = 1 supersymmetric spin foams,6
mesoscopic phenomena in multiple light scattering,4
odd-even crossover in a nonabelian $\nu=5/2$ interferometer,0
nonlinear tm modes of the symmetric hyperbolic slab waveguide,12
a radio census of binary supermassive black holes,1
charge transport and phase transition in exciton rings,4
virtual trions in the photoluminescence of monolayer transitionmetal dichalcogenides,19
di- and multiboson measurements in atlas,5
nonfermiliquid behavior in quantum impurity models with superconducting channels,0
interaction driven subgap spin exciton in the kondo insulator smb6,0
possible transient luminous events observed in jupiter's upper atmosphere,11
protoninduced halo formation in charged meteors,11
gravitational constant in multiple field gravity,6
dressed counterions: poly and monovalent ions at charged dielectric interfaces,7
the occurrence and architecture of exoplanetary systems,11
straightening of thermal fluctuations in semiflexible polymers by applied tension,7
superconductorinsulator transition in a disordered electronic system,4
rough interfaces beyond the gaussian approximation,16
high-pressure synthesis of superhard and ultrahard materials,19
hertz-linewidth semiconductor lasers using cmos-ready ultrahigh$q$ microresonators,12
multiparameter tests of general relativity using multiband gravitational-wave observations,6
minimal stability in maximal supergravity,10
remarks on superenergy tensors,6
antiferromagnetism weakening with y-substitution in the tbrhin$_5$ intermetallic system,0
"nonabelian monopoles, vortices and confinement",10
z_2-vortex ordering of the triangularlattice heisenberg antiferromagnet,17
transmission spectrum of venus as a transiting exoplanet,11
a supercondenser for labelfree nanoscopy,12
interacting growth walk - a model for hyperquenched homopolymer glass?,17
large diphoton higgs rates from supersymmetric triplets,3
self-consistent nonspherical isothermal halos embedding zero-thickness disks,1
polyelectrolyte condensation induced by linear cations,7
classical interaction cannot replace quantum nonlocality,15
evaluable multipartite entanglement measures: are multipartite concurrences entanglement monotones?,15
possible pseudogap behavior of electron doped high-temperature superconductors,2
nonhermitian magnon-photon interference in an atomic ensemble,15
space division multiplexing in optical fibres,12
charged current single pion cross section measurement at miniboone,5
extragalactic propagation of ultrahigh energy cosmic rays,13
nonlinear stability of minkowski spacetime in nonlocal gravity,6
transport in suspended graphene,19
the superconducting phase transition and gauge dependence,2
classical cepheids in the galactic outer ring r1r2',9
superfluidity of $\lambda$ hyperons in neutron stars,14
interstellar and circumstellar fullerenes,9
theory of initialization-free decoherence-free subspaces and subsystems,15
size-dependent nonlocal effects in plasmonic semiconductor particles,8
supercomputer simulations of transmon quantum computers,15
chaotic repellers in antiferromagnetic ising model,4
liquid-to-liquid phase transition in pancake vortex systems,2
interacting open p-branes,10
space-time transformation for superluminal signaling,15
tensor networks: phase transition phenomena on hyperbolic and fractal geometries,17
extraordinary transmission of nanohole lattices in gold films,12
"detection of extragalactic argonium, arh$^+$, toward pks~1830$-$211",9
multiwavelength observations of mrk 501 in 2008,13
properties of subhalos in the interacting dark matter scenario,1
antimatter production in supernova remnants,13
superpartner solutions of a bps monopole in noncommutative space,10
nonperturbative fine-tuning in approximately supersymmetric models,16
dynamics of genuine multipartite entanglement under local nonmarkovian dephasing,15
hyperboloidal data and evolution,6
hadronic interactions and nuclear physics,16
interferometers for displacement-noise-free gravitational-wave detection,6
hysteresis loops of co-pt perpendicular magnetic multilayers,4
poststarburst galaxies in sdss-iv manga,9
anomalous oscillatory magnetoresistance in superconducting transitions,2
autodipole - automated generation of dipole subtraction terms -,3
terahertz generation by beamlet superposition,12
numerical evaluation of multiple polylogarithms,3
supernovaregulated ism -- v. space- and time-correlations,9
overscreened single channel kondo problem,4
stochastic multiplicative processes with reset events,4
topological spin-current in noncentrosymmetric superconductors,2
the mass of spacelike hypersurfaces in asymptotically antide sitter space-times,6
quark interchange effects in the kn interaction,14
jet substructure in atlas,5
the influence of outflow in supercritical accretion flows,13
flow equations for electron-phonon interactions,4
nonlinear optics of matter waves,4
multiparty quantum computation,15
ambipolar light-emitting transistors on chemical vapor deposited monolayer mos2,8
$\mathrm{baas_3}$: a narrow gap 2d semiconductor with vacancy-induced semiconductormetal transition,19
element specificity of transient extreme ultraviolet magnetic dichroism,19
ferroelectric phase transitions in a lattice pseudojahnteller model,4
new extended interpolating operators for hadron correlation functions,16
radiative nonleptonic kaon decays,3
strangeness and hypernuclear production in fragmentation reactions induced by antikaons,14
effects of nonlinearities on magnetic field generation,1
magnetic excitations in noncollinear antiferromagnetic weyl semimetal $\mathsf{mn_{3}sn}$,0
effective spacetime from multidimensional gravity,6
weakly nonlinear rheology of transiently crosslinked biopolymer gels,7
simulation of multiple partonic interactions in herwig++,3
study of the decays b->d_s1(2536)+ antid(*),5
discovery of ordered vortex phase in multiferroic oxide superlattices,19
roadmap on multimode light shaping,12
interpolating masked weak lensing signal with karhunen-loeve analysis,1
superconductivity in cu_xtise_2,2
mean field theory of the localization transition,4
supernova luminosity powered by magnetar-disk system,13
the spectral dimension of nongeneric branched polymers,16
multiwavelength optical properties of compact dust aggregates in protoplanetary disks,11
low-noise octave-spanning mid-infrared supercontinuum generation in a multimode chalcogenide fiber,12
iris observations of the low-atmosphere counterparts of active region outflows,18
hydrodynamical models of type ii-plateau supernovae,18
interface energy of two band superconductors,2
electromagnetic nonlinear x-waves,12
fluid instabilities of magnetar-powered supernovae,13
nonthermal symmetry broken states in the strongly interacting hubbard model,0
electron transport driven by nonequilibrium magnetic textures,8
totally asymptotically free trinification,3
search for exclusive multibody nondbard decays at the psi(3770),5
stress fluctuations in transient active networks,7
phase transitions and nonanalyticities in large n gauge theories,16
understanding dense hydrogen at planetary conditions,11
the wiener-hermite expansions of the langevin transitions,16
interaction between two nonthreshold bound states,10
polyynylsubstituted pah molecules and dib carriers,9
numerical overcooling in shocks,1
extrapolation of hubble curves,6
search for multiple step integer quantum hall transitions,8
raman continuum in high-$t_c$ superconductors,4
outflow - core interaction in barnard 1,9
local crystal misorientation influences nonradiative recombination,19
the u(1) phase transition on toroidal and spherical lattices,16
nonequivalent ensembles and metastability,17
intergranular normal stress distributions in untextured polycrystalline aggregates,19
nonresonant grain acceleration in mhd turbulence,9
transient ultraluminous x-ray source ngc5474 x-1,13
seiberg-witten transforms of noncommutative solitons,10
towards universal nonvolatile resistance switching in nonmetallic monolayer atomic sheets,8
quantum trajectories of interacting pseudospinnetworks,15
superagb stars and their role as electron capture supernova progenitors,18
coherent states formulation of polymer field theory,7
magnetic order in a spin-1/2 interpolating kagome-square heisenberg antiferromagnet,0
measurement of the neutrino-induced semicontained events in macro,5
the mode-locking transition of random lasers,12
disc-binary interactions in depleted postagb binaries,18
nonperturbative signatures of nonlinear compton scattering,3
gaussian beam collimation via transformation media,12
anomalous dimensions and phase transitions in superconductors,2
on the interaction in lattice gauge theory,16
nonbaryonic dark matter in cosmology,1
high-z supernova type ia data: nongaussianity and direction dependence,1
minimizing follow-up for space-based transit surveys using full lightcurve analysis,11
cosmological time in quantum supergravity,6
minimal doubling fermion and hermiticity,16
"transformation optics, isotropic chiral media, and nonriemannian geometry",12
current responsivity of semiconductor superlattice thz-photon detectors,4
pairing and realistic shell-model interactions,14
stochastic interacting particle systems out of equilibrium,17
hydrogen-poor superluminous stellar explosions,1
magneto-optic and transverse transport properties of noncollinear antiferromagnets,19
multimatrix postprocessing for quantum key distribution,15
cloud-cloud collisions and triggered star formation,9
minimally doubled fermion revival,16
nonreciprocal nano-optics with spin-waves in synthetic antiferromagnets,8
photoionization heating of nova ejecta by the postoutburst supersoft source,18
"storms, variability, and multiple equilibria on hot-jupiters",11
noninvasive tracking of polarization rotation from speckle contrast measurement,12
moduli-space structure of knots with intersections,6
thermodynamics of nonadditive systems,17
global self-similar protostellar disk/wind models,18
nonlinear coupling in nb/nbn superconducting microwave resonators,2
intracluster supernovae in the multiepoch nearby cluster survey,1
first minimum bias physics results at lhcb,5
unstable flow and nonmonotonic constitutive equation of transient networks,7
autocorrelations from the transfer matrix dmrg method,0
minimal geometric deformation: the inverse problem,6
antinewtonian universes do not exist,6
results on panoramic spectroscopy of mrk 171,9
effective equations for reaction coordinates in polymer transport,17
pseudogap and local pairs in high-tc cuprate superconductors,2
non stationary einstein-maxwell fields interacting with a superconducting cosmic string,6
tanami - multiwavelength and multimessenger observations of active galaxies,13
multiscale computation with interpolating wavelets,19
correlation effects in transport properties of interacting nanostructures,0
scalar-tensor nonlocal gravity,6
predicting a two-dimensional p2s3 monolayer: a global minimum structure,19
submev self interacting dark matter,3
mott-insulator-to-superconductor transition in a two-dimensional superlattice,0
modelling excitonic mott transitions in two-dimensional semiconductors,8
high-precision stellar limb-darkening in exoplanetary transits,11
antiferromagnetic phase transition in $cr_{2}as$ via anisotropy of exchange interactions,19
co-orbital resonance with a migrating protogiant planet,11
soliton-similariton switchable ultrafast fiber laser,12
spontaneous pattern formation in intertype superconducting films,2
nonlinear integrable equations and nonlinear fourier transform,10
entropic analysis of nonstationary sequences,17
nonfermiliquid d-wave metal phase of strongly interacting electrons,0
equations from nonlinear chiral transformations,10
rkky interaction of magnetic impurities in multiweyl semimetals,8
disorder induced phase transition in a random quantum antiferromagnet,4
detection of cn gas in interstellar object 2i/borisov,11
quantum interference of multimode two-photon pairs with a michelson interferometer,15
the variable radio counterpart of swift j1858.6-0814,13
testing qcd in photon-photon interactions,5
substructure formation in starless cores,18
superfluid and metamagnetic phase transitions in $\omega$-deformed gauged supergravity,10
odd-frequency superconducting pairing in multiband superconductors,2
nonuniform doping across the fermi surface of nbs$_2$ intercalates,0
probable spin-orbit aligned superearth planet candidate koi-2138.01,11
semiholographic model revisited,1
a possible substellar companion to the intermediatemass giant hd 175679,11
quasi-stationary and transient patterns in jets,1
nongaussianity and extragalactic foregrounds to the cosmic microwave background,1
poloidal magnetic fields in superconducting neutron stars,13
numerical simulations of a shock-filament interaction,9
suppressing dislocations in normalized hypercubic smearing,16
predictivity and nonrenormalizability,10
cp violation from supersymmetry in hyperon decays,3
color transparency assumptions,14
the evolution of red supergiant mass-loss rates,18
unconventional ferromagnetic transition in la1-xcaxmno3,4
fluctuation-driven first-order transition in pauli-limited d-wave superconductors,2
transport dynamics of broad resonances,14
nonlinear electric transport in graphene with magnetic disorder,8
supersymmetric geometries of iia supergravity ii,10
nonlinear wavelength selection in surface faceting under electromigration,19
$\pi^+$ emission from hypernuclei and the weak $\delta i=3/2$ transitions,14
nonperturbative renormalisation for overlap fermions,16
the wasp-south search for transiting exoplanets,11
search for n-nbar oscillation in superkamiokande,5
overview on second and third order optical nonlinear processes,12
elusive dzyaloshinskii-moriya interaction in fe$_3$gete$_2$ monolayer,19
toward a systematic analysis of the fourth-root trick,16
ruderman-kittel-kasuya-yosida interaction in weyl semimetals,8
contrasting supersymmetry and universal extra dimensions at colliders,3
a new multiferroic material: mnwo4,0
general nonequilibrium theory of colloid dynamics,7
adiabatic perturbation theory of nonequilibrium light-controlled superconductivity,2
measuring sizes of ultrafaint dwarf galaxies,9
baryon number transport via gluonic junctions,14
sn-driven mechanism of cusp-core transformation: an appraisal,9
mesons above the deconfining transition,16
automodulations in kerr-lens modelocked solid-state lasers,12
3d amr simulations of g2 as an outflow,9
theory of nonequilibrium electronic mach-zehnder interferometer,8
scintillation counters for the d0 muon upgrade,5
quantum transport theory with the nonequilibrium coherent potentials,8
nonhermitian spatial symmetries and globally stabilized exceptional topological semimetals,8
magnetic scaling in cuprate superconductors,4
$\omega - \pi\gamma^*$ transition form factor in protonproton collisions,14
analysis of multilayer electro-active tubes under different constraints,7
multifrequency shubnikov-de haas oscillations in topological semimetal pt$_2$hgse$_3$,8
colloidal particle adsorption at water/water interfaces with ultralow interfacial tension,7
quantum superoscillation of a single photon,12
convective heat transport in compressible fluids,7
transporting nongaussianity from sub to superhorizon scales,1
latest results on weak semileptonic hyperon decays in ktev,5
status of superkekb and belle ii,5
nonequilibrium information erasure below ktln2,17
massive protostars as gamma-ray sources,13
nonmarkovian dynamics of reaction coordinate in polymer folding,7
implementation of time-delay interferometry for lisa,6
top-heavy imfs in ultra compact dwarf galaxies?,1
magnetostructural transition in ce(fe0.975ga0.025)2 compound,0
comment on ``roughening transition of interfaces in disordered media'',4
semiclassical ordering in the large-n pyrochlore antiferromagnet,0
$\xi$ hypernuclear states predicted by nlo chiral baryon-baryon interactions,14
nonsupersymmetric deformations of noncritical superstrings,10
the fallback mechanisms in core-collapse supernovae,13
"linear multiparticle, multiport interferometers and their matrix representations",15
on the elusive antibayerite structure,19
on superconformal projective hypermultiplets,10
self--dual supergravity and supersymmetric yang--mills coupled to green--schwarz superstring,10
nonequilibrium transport through a disordered molecular nanowire,8
superconductivity in two-band nonadiabatic systems,2
multioctave supercontinuum from mid-ir filamentation in bulk,12
first order phase transition in the frustrated triangular antiferromagnet csnicl3,0
on totally umbilic submanifolds of semiriemannian manifolds,6
electronic transport in graphene nanoribbons with sublatticeasymmetric doping,8
disorder-driven nonfermiliquid behavior in cerhrusi_2,0
transit duration variations in multiplanet systems,11
nonminimally coupled multiscalar black holes,6
triplet forces between star polymers,7
on hurwitz transformations,10
multimode lasing in wave-chaotic semiconductor microlasers,12
deterministic phase measurements exhibiting supersensitivity and superresolution,15
superfluidinsulator transitions of two-species bosons in an optical lattice,17
junction-less monolayer mos2 fets,8
grain charging in protoplanetary discs,11
geometric transition in nonperturbative topological string,10
extensible 3d architecture for superconducting quantum computing,15
"information, expansive nondecelerative universe, and superstring theory",6
the formation of superearths and minineptunes with giant impacts,11
the slow winds of a-type supergiants,18
"patterns, shapes and growth of a spherical superabsorvent polymer",7
supersymmetric wilson loops,10
sizes of protoplanetary discs after star-disc encounters,9
semiinclusive asymmetries with polarized proton beams at hera,3
a study of multi$\lambda$ hypernuclei within spherical relativistic mean-field approach,14
optimal boltzmann hierarchies with nonvanishing spatial curvature,1
towards pseudonewtonian black hole jets: comparison of forces,13
invariant theory and orientational phase transitions,7
dynamical supersymmetry breaking in a superstring inspired model,3
the yellow hypergiant - b[e] supergiant connection,18
looking for intermediatemass black holes,1
"production of charm, charmonium, and beauty in 800$\,$gev protonnucleon collisions",5
topological superconductivity from magnetic impurities on monolayer nbse$_2$,8
pseudoscalar decay constants in staggered chiral perturbation theory,16
electromagnetic interactions at rhic and lhc,14
observational constraints on superbubble x-ray energy budgets,9
quest for magicity in hypernuclei,14
dominant multipoles in wmap5 mosaic data correlation maps,1
chemical tracers of episodic accretion in low-mass protostars,18
phase transformations in binary colloidal monolayers,7
thermal and nonthermal connection in radio minihalos,13
isotope effect in the pseudogap of high-temperature superconducting copper oxides,0
statistical analysis of hubble/wfc3 transit spectroscopy of extrasolar planets,11
collider searches for extra spatial dimensions and black holes,5
candidate list of edge-on galaxies with substantial extraplanar dust,9
kepler transit depths contaminated by a phantom star,11
nonlinear extension of the quantum dynamical semigroup,15
anticrosstalk high-fidelity state discrimination for superconducting qubits,15
microcanonical analysis of a nonequilibrium phase transition,17
phase transition in a supersymmetric axion model,3
superluminous supernovae at high redshift,13
field-tuned superconductorinsulator transition in bapb1-xbixo3,2
thermal qrpa with skyrme interactions and supernova neutral-current neutrino-nucleus reactions,14
eta-meson photoproduction off protons and deuterons,14
maximally natural supersymmetry,3
nonperturbative hydrodynamic model for multiple harmonics generation in metallic nanostructures,12
from fake supergravity to superstars,10
statistical mechanics of double-helical polymers,7
interfacing planar superconducting qubits with high overtone bulk acoustic phonons,8
binary fluid demixing: the crossover region,7
"phenomenology of antigravity in n=2,8 supergravity",3
screened electrostatic interactions between clay platelets,7
benefits of multiple sites for asteroseismic detections,18
demystifying autoparallels in alternative gravity,6
unified order-disorder vortex phase transition in high-tc superconductors,2
dynamic looping of a free-draining polymer,7
triplet superfluidity on a triangular ladder with dipolar fermions,0
parity-time antisymmetric parametric amplifier,12
the nonminimal supersymmetric standard model with $\tan\beta\simeq m_t/m_b$,3
"carbon monosulfide nanostructures: chains arrays, monolayers, and thin films",19
suppression of magnetism in bifeo$_3$ ultrathin epitaxial multilayers,19
cosmology of the interacting cubic galileon,6
the 13o-rich atmosphere of a young accreting superjupiter,11
interpreting opera results on superluminal neutrino,3
characterizing nonmarkovianity via quantum interferometric power,15
nonmarkovian models of blocking in concurrent and countercurrent flows,17
multiplexing complex two-dimensional photonic superlattices,12
superlattice nonlinearities for gigahertz-terahertz generation in harmonic multipliers,8
multishelled gold nanowires,19
interplay of coulomb interaction and spin-orbit coupling,0
searches for contact interactions at hera,5
pressure cycle of superconducting cs0.8fe2se2: a transport study,2
intermittent dipping in a low-mass x-ray binary,13
nonlinear carrier dynamics in silicon nano-waveguides,12
optimization of spectroscopic surveys for testing nongaussianity,1
seminar on records theory,6
nova eruptions with infrared interferometric observations,18
strain induced magnetic transition in camno$_3$ ultra thin films,19
peierls-like transition induced by frustration in a two-dimensional antiferromagnet,0
supersymmetry and euler multiplets,10
effective superbandwidth in laser pulses,12
supersymmetric electrovacs in gauged supergravities,10
new astrophysical bounds on ultralight axionlike particles,1
few-photon transport in low-dimensional systems: interactioninduced radiation trapping,8
improved pseudofermion approach for all-point propagators,16
multiwavelength study of the g345.5+1.5 region,9
reconstruction of tip-surface interactions with multimodal intermodulation atomic force microscopy,8
chern-simons superconductivity at finite magnetic field,4
domain-wall and overlap fermions at nonzero quark chemical potential,16
nonperturbative renormalization of lattice operators,16
anisotropic neutron spin resonance in underdoped superconducting nafe1-xcoxas,2
fluid-fluid demixing transitions in colloid--polyelectrolyte star mixtures,7
a spectrally tunable plasmonic photosensor with an ultrathin semiconductor region,12
bosonic fractionalisation transitions,10
spin tunneling in the kagom\'e antiferromagnet,4
efficient output coupling of intracavity high harmonic generation,12
hyperbolic motion generated by inversion,6
nonequilibrium dynamics in the antiferromagnetic hubbard model,0
174p/echeclus and its blue coma observed postoutburst,11
dark matter scaling relations in intermediate z haloes,1
supereddington accretion onto a magnetized neutron star,13
continuous quantum phase transitions,4
stationarity and energy transfer in outofequilibrium systems,17
condensation transitions in nonequilibrium systems,17
landau-zener transitions in a semiconductor quantum dot,0
transverse polarization of lambda and lambda-bar hyperons in quasireal photoproduction,5
kaon interferometry at kloe: present and future,5
qu carinae: supernova ia in the making?,18
microinstabilities in the transition region of weak quasi-perpendicular intracluster shocks,13
multiband superconductivity in ${\rm bis_2}$-based layered compounds,2
resistive transition of hydrogen-rich superconductors,2
anticipating the sun's heavy-element abundance,18
investigations of approximate expressions for the transit duration,11
postnewtonian spherically symmetrical accretion,6
small jupiter trojans survey with subaru/hyper suprime-cam,11
equal time correlations in haldane gap antiferromagnets,4
surface effects on the mott-hubbard transition in archetypal v$_2$o$_3$,0
"generalized l\""uscher's formula in multichannel baryon-baryon scattering",16
tempered transitions between thimbles,16
