text,label
fourier multiplier theorems for triebellizorkin spaces,0
"hypergeometric series, truncated hypergeometric series, and gaussian hypergeometric functions",18
pseudosaturation and the interpretability orders,9
ratliff-rush monomial ideals,1
noncototients and nonaliquots,18
"split functions, fourier transforms and multipliers",12
nonlinear metric subregularity,14
henstock--kurzweil fourier transforms,0
subgroups of free idempotent generated semigroups: full linear monoid,13
multivariate alexander colorings,7
riesz transforms on noncompact manifolds,19
"width, ricci curvature and minimal hypersurfaces",4
almost closed interscribed polygons,8
inequalities for multivariate polynomials,0
finite groups having nonnormal t.i. subgroups,13
disjoint nonfree subgoups of abelian groups,9
phase transition in one-dimensional subshifts,8
interlace polynomials for multimatroids and delta-matroids,2
the $\mathbb{c}$-motivic wedge subalgebra,16
boundary behavior of nonlocal minimal surfaces,19
monoidality of franke's exotic model,16
polytope bounds on multivariate value sets,18
topological triangulated categories,16
algorithms for subelliptic multipliers in $\mathbb{c}^2$,11
the maximum volume of hyperbolic polyhedra,7
multivariable orthogonal polynomials,12
semiinvertible extensions of c*-algebras,6
nonlinear differential inequality,0
gauss' lemma for polynomials over semidomains,1
valued modules over skew polynomial rings 1,9
pseudopolynomial functions over finite distributive lattices,5
multivariate anisotropic interpolation on the torus,12
e-infinity structure in hyperoctahedral homology,16
simple supermodules over lie superalgebras,10
natural monoids and noncommutative arithmetics,18
embeddedness of least area minimal hypersurfaces,4
automorphism groups of superextensions of groups,13
the kauffman polynomial and trivalent graphs,7
ehrhart polynomials of matroid polytopes and polymatroids,2
noncommutative algebraic geometry of semigraded rings,5
nonmarkovian optimal prediction,15
subspaces of $c^\infty$ invariant under the differentiation,11
multiplicative iteration for nonnegative quadratic programming,15
self-exciting multifractional processes,17
switchings of semifield multiplications,2
minimal nonoddtransversal hypergraphs and minimal nonoddbipartite hypergraphs,2
dense semigroups of triangular matrices,8
recognizing trivial links in polynomial time,7
noncommutative ordered spaces : examples and counterexamples,6
dynamique des applications polynomiales semiregulieres,8
minimally intersective polynomials with arbitrarily many quadratic factors,18
transitive nonpropelinear perfect codes,2
independence and abstract multiplication,9
discrete trigonometric and hyperbolic systems: an overview,0
minimal hypersurfaces and geometric inequalities,4
semisimple carrousels and the monodromy,3
hilbert $c^*$-modules over $\sigma^*$-algebras,6
data-driven nonsmooth optimization,14
hyperbolic covering knots,7
convergence of regularized nonlocal interaction energies,19
hypercontractivity for perturbed diffusion semigroups,17
semifields from skew polynomial rings,5
intersection local times for interlacements,17
average characteristic polynomials for multiple orthogonal polynomial ensembles,0
the ultrapower axiom,9
contractbility of outer space: reprise,13
approximations of subhomogeneous algebras,6
nonisometric involutive antiautomorphisms,5
"dynamical multifractal zeta-functions, multifractal pressure and fine multifractal spectra",8
extrapolation of operator-valued multiplication operators,12
stability of multipeakons,19
monomial ideals under ideal operations,1
interpolation in ortholattices,5
trivial measures are not so trivial,9
antipowers in primitive uniform substitutions,2
eisenstein's irreducibility criterion for polynomials over semirings,1
fields with pseudoexponentiation,9
"hyperinvariant, characteristic and marked subspaces",5
primitive tuning for nonhyperbolic polynomials,8
nonlinear nonhomogeneous dirichlet equations with a superlinear reaction,19
triangulations of nearly convex polygons,2
a functional interpretation for nonstandard arithmetic,9
khinchin theorem for interval exchange transformations,8
evaluation and interpolation over multivariate skew polynomial rings,5
shuffle product of finite multiple polylogarithms,18
covers of acts over monoids ii,13
automorphisms of semidirect products fixing the nonnormal subgroup,13
key polynomials and pseudoconvergent sequences,1
on suffridge polynomials,11
minimal models of semilogcanonical pairs,3
on transfer homomorphisms of krull monoids,1
g-l\'{e}vy processes under sublinear expectations,17
bridge to hyperbolic polygonal billiards,8
semiuniform semigroups and convolution,12
"on (k,n)-closed submodules",1
multiplicityfree super vector spaces,10
pseudoconvex domains spread over complex homogeneous manifolds,11
ultraspherical multipliers revisited,0
"submanifolds, isoperimetric inequalities and optimal transportation",4
local commutants and ultrainvariant subspaces,12
from hyperelliptic to superelliptic curves,3
checkerboard graph monodromies,7
gradient flows for nonsmooth interaction potentials,19
combinatorics of antiprism triangulations,2
two multivariate quadratic transformations of elliptic hypergeometric integrals,0
noncommutative harmonic analysis on semigroup and ultracontractivity,6
finding intermediate subgroups,13
synthesable differentiation-invariant subspaces,11
some finiteness results on triangular automorphisms,3
semidiscrete isothermic surfaces,4
2-local automorphisms on $aw^\ast$-algebras,6
hypercyclic homogeneous polynomials on $h(\mathbb c)$,12
a monoidal model for multilinearization,16
"hypercontractivity, supercontractivity, ultraboundedness and stability in semilinear problems",19
"multivariate h\""ormander-type multiplier theorem for the hankel transform",12
multivariate polynomial interpolation and sampling in paley-wiener spaces,15
"wilson theorems for double-, hyper, sub and superfactorials",18
intersection cohomology of s1-actions on pseudomanifolds,16
the three-point pick-nevanlinna interpolation problem on the polydisc,11
linearized polynomials over finite fields revisited,5
observers for a nonlipschitz triangular form,14
small semisimple subalgebras of semisimple lie algebras,10
contraction semigroups on $l_\infty({\bf r})$,19
"volume of tubes, non polynomial behavior",12
low-rank matrix optimization using polynomialfiltered subspace extraction,14
a classification of the finite nonsolvable minimal noncagroups,13
trigonometric and hyperbolic inequalities,0
asssociative algebras under multicommutator,5
comodules over semiperfect corings,5
central limit theorems for supercritical superprocesses,17
on a nonlinear nonlocal hyperbolic system modeling suspension bridges,19
hyperbolic modules and cyclic subgroups,13
miniversal deformations of matrices under *congruence and reducing transformations,10
kaehler submanifolds of hyperbolic space,4
overgroups of subsystem subgroups in exceptional groups: 2a1-proof,13
"hypertoric manifolds and hyperk\""ahler moment maps",4
minimization interchange theorem on posets,14
on 2-absorbing primary hyperideals of multiplicative hyperrings,1
polyhedral products over finite posets,16
induced subgraphs of hypercubes,2
semifinite spectral triples associated with graph c*-algebras,6
divisors on overlapped intervals and multiplicative functions,18
symmetric semialgebraic sets and nonnegativity of symmetric polynomials,14
graph properties for nonlocal minimal surfaces,19
superbiderivations and linear supercommuting maps on the lie superalgebras,5
intersections of translated algebraic subtori,13
polycauchy and peters mixed-type polynomials,18
hereditarily hypercyclic subspaces,8
$n$-absorbing monomial ideals in polynomial rings,1
the affine vw supercategory,10
the intersection polynomials of a virtual knot,7
time-dependent fluid-structure interaction,15
semicorings and semicomodules,5
exotic minimal surfaces,4
polar cremona transformations,3
transitivity in nonautonomous systems,8
multidimensional laplace transforms over cayley-dickson algebras and partial differential equations,11
outer billiards on regular polygons,8
about a nonstandard interpolation problem,11
supersimple structures with a dense independent subset,9
modified trigonometric integrators,15
the countable existentially closed pseudocomplemented semilattice,9
superpolynomial and polynomial mixing for semiflows and flows,8
threefold symmetric hahn-classical multiple orthogonal polynomials,0
monotonicity of zeros of jacobi-angelesco polynomials,0
on antiinvariant semiriemannian submersions from lorentzian (para)sasakian manifolds,4
bounded rank-one transformations,8
minimal idempotent ultrafilters and the auslander-ellis theorem,9
hyperbolic geometry of multiply twisted knots,7
invariant triple functionals over $u_q\frak{sl}_2$,10
hypertoric hitchin systems and kirchhoff polynomials,3
nonlinear diffusion in transparent media,19
a multiresolution triangular plate-bending element method,15
ultradifferentiable cr manifolds,11
monomial to ultraspherical basis transformation and the zeros of polynomials,0
multifractal analysis in nonuniformly hyperbolic interval maps,8
parageometric outer automorphisms of free groups,13
nonnegative morse polynomial functions and polynomial optimization,3
tracking control for underactuated nonminimum phase multibody systems,14
transformed snapshot interpolation with high resolution transforms,15
equivariant multiplicative closure,16
contractible subgraphs and morita equivalence of graph c*-algebras,6
hyperelliptic curves with many automorphisms,3
sharp inequalities over the unit polydisc,11
minimal order controllers for output regulation of nonlinear systems,14
multilinear multiplier theorems and applications,19
homology handles with trivial alexander polynomial,7
translating solitons over cartan-hadamard manifolds,4
nonforking w-good frames,9
from minimal embeddings to minimal diffusions,17
superconvergence points of spectral interpolation,15
key polynomials over valued fields,3
adaptive optimal transport,14
on generalized multi polyeuler and multi polybernoulli polynomials,18
multivariate polynomial approximation in the hypercube,15
anticoncentration for subgraph statistics,2
algebraic subgroups of acylindrically hyperbolic groups,13
on number fields with nontrivial subfields,18
nonuniqueness of infinitesimally weakly nondecreasable extremal dilatations,11
transverse laplacians for substitution tilings,6
polyhedral computation based transfer capacities in multiarea power systems,14
minimisers of a fractional seminorm and nonlocal minimal surfaces,19
on polynomial functions on nonconmmutative groups,0
characteristic polynomials of automorphisms of hyperelliptic curves,3
algebraic multigrid methods,15
super rough semantics,9
rigidity of minimizers in nonlocal phase transitions ii,19
nonconvex rank/sparsity regularization and local minima,14
generic analytic polyhedron with noncompact automorphism group,11
minimal nonnilpotent groups which are supersolvable,13
nonlinear ultrasound imaging,19
inverse semigroups with idempotent-fixing automorphisms,13
subquivers determine the invariants $\xi_j$ for multidimensional persistence modules,16
factorizations in upper triangular matrices over information semialgebras,5
subsampling algorithms for semidefinite programming,14
transversals in nondiscrete groups,13
semilinear stars are contractible,9
nonlocal problems with critical hardy nonlinearity,19
multigoaloriented error estimates for nonlinear problems,15
intersection bodies and generalized cosine transforms,12
wide subcategories are semistable,10
"discreteness of ultraparallel complex hyperbolic triangle groups of type $[m_1,m_2,0]$",7
strong singularity for subfactors,6
monotonicity of nonpluripolar monge-amp\`ere masses,11
multiplicative diophantine exponents of hyperplanes and their nondegenerate submanifolds,18
mass transportation on subriemannian manifolds,14
nonlocal doubly nonlinear diffusion problems with nonlinear boundary conditions,19
on stable compact minimal submanifolds,4
nonconvex phase synchronization,14
multiplicity one theorems over positive characteristic,10
escaping set of hyperbolic semigroup,8
puiseux monoids and transfer homomorphisms,1
pfaffian intersections and multiplicity cycles,3
on multivariate polynomials with many roots over a finite grid,1
superpoincar\'e and nash-type inequalities for subordinated semigroups,12
nonlocal delaunay surfaces,19
nonhomogeneous combinatorial manifolds,7
on the sequential multiknapsack polytope,14
frequently hypercyclic semigroups,12
on nonforking spectra,9
"dyson's brownian motions, intertwining and interlacing",17
submanifolds with nonpositive extrinsic curvature,4
order preserving interpolation for summation-by-parts operators at nonconforming grid interfaces,15
noninjectivity of nonzero discriminant polynomials and applications to packing polynomials,18
the complex of nonchromatic scales,16
on generalized shift transformation semigroups,8
multidimensional interpretations of presburger arithmetic in itself,9
"triangulations of nonarchimedean curves, semistable reduction, and ramification",3
nonresonance d-modules over arrangements of hyperplanes,3
nonexistence results for nonlocal equations with critical and supercritical nonlinearities,19
ellipse-preserving hermite interpolation and subdivision,15
on subcomplete forcing,9
a multiobjective interpretation of optimal transport,14
multiple discriminants and critical values of a multivariate polynomial,1
a variational principle for weighted delaunay triangulations and hyperideal polyhedra,7
cusp transitivity in hyperbolic 3-manifolds,7
subrings invariant under endomorphisms,3
highly transitive actions of out(fn),13
asymmetric dynamics of outer automorphisms,13
noncharacterizing slopes for hyperbolic knots,7
polynomials that preserve nonnegative matrices,5
semiinfinite highest weight categories,10
nonincreasing depth functions of monomial ideals,1
strongly minimal pseudofinite structures,9
blown-up intersection cohomology,16
$l^{p}$ estimates for multilinear and multiparameter pseudodifferential operators,19
less nonstationary ideals,9
nonlocal linearization of nonlinear differential equations via polyflows,14
"nondiscrete complex hyperbolic triangle groups of type (m,m,infinity)",4
multidimensional markov fbsdes with superquadratic growth,17
multiagent interaction and nonlinear markov games,14
transitive spaces of operators,6
nonfibered l-space knots,7
a random multiple access protocol with spatial interactions,17
automorphisms of supersingular k3 surfaces and salem polynomials,3
oversampling generates superwavelets,12
on polynomial optimization over noncompact semialgebraic sets,14
transition operations over plane trees,2
cross-connections of linear transformation semigroup,5
multidimensional sparse superresolution,15
dualities for multistate probabilistic cellular automata,17
polynomials associated to nonconvex bodies,11
hyperbolic polynomials and linear-type generating functions,11
ideal triangulations of pseudoanosov mapping tori,7
quasi-stationary distributions for subcritical superprocesses,17
absolute nonarchimedean polyhedral expansions of ultrauniform spaces,16
stable complete intersections,1
f-purity of hypersurfaces,1
isolated nonnormal crossings,3
"zernike polynomials: evaluation, quadrature, and interpolation",15
weak notions of nondegeneracy in nonlinear semidefinite programming,14
transitive perfect colorings of the nonregular archimedean tilings,13
normalizers of irreducible subfactors,6
wavelet transform of fractal interpolation function,8
on divisor-closed submonoids and minimal distances in finitely generated monoids,1
$\mathbf{f}_p$-representations over $p$-fields,18
on pseudoeinstein real hypersurfaces,4
resultants over commutative idempotent semirings,5
the aubin--nitsche trick for semilinear problems,15
automorphism groups over hilbertian fields,18
minimizing length of billiard trajectories in hyperbolic polygons,8
on the intersection of minimal hypersurfaces of $s^k$,4
degenerate real hypersurfaces in $\mathbb{c}^2$ with few automorphisms,11
antiflag transitive collineation groups,2
buchsbaum-rim multiplicities as hilbert-samuel multiplicities,1
the internal relation,9
nonlinear nonoverlapping schwarz waveform relaxation for semilinear wave propagation,15
on operator-valued monotone independence,6
outer automorphisms of free burnside groups,13
ultralocally closed clones,9
transverse linear subspaces to hypersurfaces over finite fields,3
injective hyperbolicity for quotients of balls and polydisks,11
fractals in noncommutative geometry,6
bicomplex mobius transformation,11
"some forcing techniques: ultrapowers, templates, and submodels",9
multipliers spaces and pseudodifferential operators,19
the interlace polynomial,2
transverse noncommutative geometry of foliations,7
writing representations over minimal fields,10
nonadic formal schemes,3
trilinear fourier multipliers on hardy spaces,0
the multiplicative loops of jha-johnson semifields,13
multiple askey-wilson polynomials and related basic hypergeometric multiple orthogonal polynomials,0
valued modules over skew polynomial rings 2,9
slice monogenic functions,11
semilinear automorphisms of classical groups and quivers,10
automorphisms of trivalent graphs,7
ergodic theory: nonsingular transformations,8
double character sums over subgroups and intervals,18
intersecting jones projections,6
transfinite thin plate spline interpolation,15
multicurves and equivariant cobordism,16
linear-quadratic optimal control under nonmarkovian switching,14
contractible open 3-manifolds which nontrivially cover only noncompact 3-manifolds,7
"graded lie superalgebras, supertrace formula, and orbit lie superalgebras",10
tracing internal categoricity,9
hyperbolic polygons of minimal perimeter with given angles,7
presentations of rings with nontrivial semidualizing modules,1
multiplicity upon restriction to the derived subgroup,10
superconvergence of kernel-based interpolation,15
a noncommutative gauss map,6
multiplication of matrices over lattices,5
hypergraphic polytopes: combinatorial properties and antipode,2
on trivialities of chern classes,16
on synchronized nonsofic subshifts,8
characterizations of ultramaximally monotone operators,12
multiparameter polycauchy and polybernoulli numbers and polynomials,2
"alternating minimization, proximal minimization and optimization transfer are equivalent",15
fitzpatrick algorithm for multivariate rational interpolation,15
hilbert transforms associated with dunkl-hermite polynomials,0
on supercyclicity of operators from a supercyclic semigroup,12
inverse semigroup c*-algebras associated with left cancellative semigroups,6
subfactors and planar algebras,6
on the exponential transform of multisheeted algebraic domains,11
factoring polynomials over function fields,18
subresultants in multiple roots,1
on the content of polynomials over semirings and its applications,1
eigenvalues for a nonlocal pseudo $p-$laplacian,19
diagonalizing matrices over aw*-algebras,6
reinhardt domains with noncompact automorphism groups,11
on the trace subshifts of fractional multiplication automata,8
optimal multiple stopping problem under nonlinear expectation,17
distinguished regular supercuspidal representations,10
annular noncrossing permutations and minimal transitive factorizations,2
multiplicative functions in short intervals ii,18
multiplicative invariants and semigroup algebras,1
orientable hyperbolic 4-manifolds over the 120-cell,7
on scalable monoids,5
fixed subgroups of automorphisms of hyperbolic 3-manifold groups,7
vector bundles over multipullback quantum complex projective spaces,6
multimesh finite element methods: solving pdes on multiple intersecting meshes,15
semiclassical analysis for pseudorelativistic hartree equations,19
acylindrical hyperbolicity of out($w_n$),13
nonclassical probabilities invariant under symmetries,17
critical intermittency in random interval maps,8
nonexistence of polyhedral immersions of triangulated surfaces in $\mathbb{r}^3$,7
simplicial affine semigroups with monomial minimal reduction ideals,1
on properties of tribonaccilucas polynomials,18
semimodules over commutative semirings and modules over unitary commutative rings,5
multigraded hilbert series of noncommutative modules,5
monotone waves for nonmonotone and nonlocal monostable reaction-diffusion equations,0
injective and automorphisminvariant nonsingular modules,5
minimal bounded index subgroup for dependent theories,9
"quaternionic contact hypersurfaces in hyperk\""ahler manifolds",4
mixed multiplicities of multigraded algebras over noetherian local rings,1
idempotent ultrafilters and polynomial recurrence,8
hyperbolic localization of intersection cohomology,3
on multiple $\delta_{\omega}$-appell polynomials,0
a canonical polytopal resolution for transversal monomial ideals,1
frequently hypercyclic translation semigroups,12
inverse semigroups determined by their partial automorphism monoids,5
nonlinear nonhomogeneous singular problems,19
bi-quartic parametric polynomial minimal surfaces,4
toeplitz algebras of semigroups,6
superstrong approximation for monodromy groups,18
polynomial algorithm for $k$-partition minimization of monotone submodular function,14
on weyl multipliers of nonoverlapping franklin polynomial systems,0
multiagent decentralized network interdiction games,14
dynamics of certain nonconformal semigroups,8
classifying resolving subcategories,1
semigroup c*-algebras and amenability of semigroups,6
a new minimal non$\sigma$scattered linear order,9
more properties on multi polyeuler polynomials,18
on the lebesgue nonlinear transformations,8
automorphism groups of compact complex supermanifolds,11
"antiholomorphic semiinvariant submersions from k\""{a}hlerian manifolds",4
area of minimal hypersurfaces,4
a stochastic subgradient method for nonsmooth nonconvex multilevel composition optimization,14
fourier transform on hyperplane arrangements,16
homotopy of gauge groups over nonsimplyconnected five dimensional manifolds,16
congruence of ultrafilters,9
subcritical $\mathcal{u}$-bootstrap percolation models have nontrivial phase transitions,17
aleksandrov surfaces and hyperbolicity,11
topology of polyhedral products over simplicial multiwedges,16
transversal lightlike submanifolds of golden semi riemannian manifolds,4
nonnoetherian cohen-macaulay rings,1
on hyperbolic sets of polynomials,8
multivariate polynomial interpolation on lissajous-chebyshev nodes,15
the markovian hyperbolic triangulation,17
on semislant $\xi^\perp-$riemannian submersions,4
cuntz semigroups of ultraproduct c*-algebras,6
randomness and semimeasures,9
a multigrid method for nonlocal problems: nondiagonally dominant toeplitz-plus-tridiagonal systems,15
representation stability for homotopy automorphisms,16
multipliers and hereditary subalgebras of operator algebras,6
nonconvolution nonlinear integral volterra equations with monotone operators,19
multipliers over fourier algebras of ultraspherical hypergroups,12
homotopy types of gauge groups over nonsimplyconnected closed 4-manifolds,16
transformations of well-poised hypergeometric functions over finite fields,18
the multimarginal optimal partial transport problem,19
semistable subcategories for euclidean quivers,10
action of intertwining operators on pseudospherical k-types,10
multiagent flocking under topological interactions,14
minimal lagrangian submanifolds of the complex hyperquadric,4
multivariable spectral multipliers and quasielliptic operators,19
over recurrence for mixing transformations,8
lie structure in semiprime superalgebrs with superinvolution,5
intersection theorems for multisets,2
polynomial extensions of semistar operations,1
on nonadjointable semiweyl and semibfredholm operators over c*-algebras,12
symmetric noncommutative birational transformations,3
odd multiperfect numbers,18
"pluripolar sets, real submanifolds and pseudoholomorphic discs",11
monomial deformations of certain hypersurfaces and two hypergeometric functions,18
polyhedral divisors of affine trinomial hypersurfaces,3
quantum alpha-determinants and q-deformed hypergeometric polynomials,10
multilayered poroelasticity interacting with stokes flow,19
superbiderivations of lie superalgebras,5
nonuniform sampling and multiscale computation,15
multiwindow weaving frames,12
equivalence classes of subquotients of supersymmetric pseudodifferential operator modules,10
subsystems of transitive subshifts with linear complexity,8
bounds on exponential sums over small multiplicative subgroups,18
nonnegative multiplicative controllability for semilinear multidimensional reaction-diffusion equations,19
is supernilpotence super nilpotence?,5
non commutative truncated polynomial extensions,5
multivariate spectral multipliers,12
on noncommutative levi-civita connections,6
stochastic subspace descent,14
computing hypercircles by moving hyperplanes,3
demilinear analysis ii -- demidistributions,12
on pseudocompact topological brandt $\lambda^0$-extensions of semitopological monoids,13
overpartitions and singular overpartitions,2
the omega-rule interpretation of transfinite provability logic,9
semicrossed products and reflexivity,6
matrix multinomial distribution,17
the minimal volume orientable hyperbolic 2-cusped 3-manifolds,7
idempotent ordered semigroup,13
on levi flat hypersurfaces with transversely affine foliation,11
on certain multiplier projections,6
ideals in intraregular left almost semigroups,13
modules over semisymmetric quasigroups,5
trimness of closed intervals in cambrian semilattices,2
nonstationary subdivision schemes originated from uniform trigonometric b-spline,15
multigraded minimal free resolutions of simplicial subclutters,1
examples of domains with noncompact automorphism groups,11
upgrading pseudopower representations,9
dualities and intersection multiplicities,1
linking first occurrence polynomials over f_p by steenrod operations,16
implicitization of hypersurfaces,1
triple correlations of multiplicative functions,18
turan problems on nonuniform hypergraphs,2
new families of subordinators with explicit transition probability semigroup,17
$p$-adic noncommutative analytic subgroup theorem,18
on systems of nonoverlapping haar polynomials,0
structural theorems for ultradistribution semigroups,12
nonpermutation invariant borel quantifiers,9
holonomy transformations for lie subalgebroids,4
monogenic trinomials with nonsquarefree discriminant,18
centers of sylow subgroups and automorphisms,13
the kac jordan superalgebra: automorphisms and maximal subalgebras,5
subsymmetric sequences and minimal spaces,12
embedding topological semigroups into the hyperspaces over topological groups,13
nonformality of the swiss-cheese operad,16
nonenergy semistable radial solutions,19
chern conjecture on minimal hypersurfaces,4
goal-oriented a posteriori error control for nonstationary convection-dominated transport problems,15
on polybell numbers and polynomials,18
unique continuation through transversal characteristic hypersurfaces,19
reduced c*-algebras of fell bundles over inverse semigroups,6
relative hyperbolicity of hyperbolicbycyclic groups,13
transversal intersection and sum of polynomial ideals,1
interpolation of nonlinear maps,12
uniqueness and nonexistence of minimal submanifolds,4
decoupling multivariate polynomials: interconnections between tensorizations,15
on subspaces of noncommutative l_p-spaces,12
positive scalar curvature and minimal hypersurfaces,4
multilevel weighted least squares polynomial approximation,15
multilevel methods for nonuniformly elliptic operators,15
lipschitz interpolative nonlinear ideal procedure,12
monodromy of projections of hypersurfaces,3
intersecting nonuniform families containing subfamilies,2
subordination and superordination for multivalent functions defined by linear operators,11
strongly polynomial sequences as interpretations,2
closed weingarten hypersurfaces in semiriemannian manifolds,4
nondeterministic inductive definitions,9
semidefinite programming relaxations for linear semiinfinite polynomial programming,14
confined subgroups and high transitivity,13
on transfer of biholomorphisms across nonminimal loci,11
intermediate and extrapolated spaces for bi-continuous semigroups,12
fast inverse nonlinear fourier transform,15
deciding positivity of multisymmetric polynomials,14
nahm transform and parabolic minimal laplace transform,3
on semisymmetric nonmetric connexion,4
extrapolation and factorization,0
