text,label
launching cosmic-ray-driven outflows from the magnetized interstellar medium,9
interfacial charge transfer and interaction in the mxene/tio2 heterostructures,19
asteroseismology with superwasp,18
radio emission from embryonic superluminous supernova remnants,13
noncompact gauge-invariant lattice simulations,16
multiparticle collision dynamics for fluid interfaces with near-contact interactions,7
intermittency and multidimensional correlations,3
multiple weyl fermions in the noncentrosymmetric semimetal laalsi,0
collective transport: from superconductors to earthquakes,4
theory of coherent time-dependent transport in one-dimensional multiband semiconductor superlattices,4
models of ultraluminous x-ray transient sources,13
nonequilibrium bound interfaces,17
nero - a post maximum supernova radiation transport code,13
bispectrum supersample covariance,1
thermodynamic transformations of nonequilibrium states,17
quantized vortices in superfluids and superconductors,4
single-loop interferometer for minimal ellipsometry,12
design of ultracompact graphene-based superscatterers,12
gauge-invariant noncompact lattice simulations,16
on nonriemannian geometry of superfluids,6
multiplayer and multichoice quantum game,15
trichromatic and tripolarizationchannel holography with noninterleaved dielectric metasurface,12
an ultrashortperiod transiting superearth orbiting the m3 dwarf toi-1685,11
multilepton events at hera,5
semiconductormetal transition in semiconducting bilayer sheets of transition metal dichalcogenides,19
universal fluctuations in subdiffusive transport,17
topologically nontrivial phases in superconducting transition metal carbides,19
superconducting properties of the noncentrosymmetric superconductor laptge,2
shape-shifting polyhedral droplets,7
achromatic superoscillatory lenses with subwavelength focusing,12
pseudofermion scattering theory,0
star and protoplanetary disk properties in orion's suburbs,18
"supersonically turbulent, shock bound interaction zones",9
line profiles of intermediate redshift type ia supernovae,1
the supernova css121015:004244+132827: a clue for understanding superluminous supernovae,18
multimode lasing in wave-chaotic semiconductor microlasers,12
nonequilibrated post freeze out distributions,14
physics of polymorphic transitions in cerusn,0
superluminous supernovae from the dark energy survey,13
a generalized theory of semiflexible polymers,7
probing many-body interactions in monolayer transitionmetal dichalcogenides,19
nonmonotonic decay of nonequilibrium polariton condensate in direct-gap semiconductors,4
interlayer interaction in multilayer copt/co structures,8
nonlinear transport in $\beta-$na$_{0.33}$v$_2$o$_5$,0
ultrafast outflows in radio-loud active galactic nuclei,13
nonequilibrium ionisation and radiative transport in an evolving supernova remnant,9
interminiband rabi oscillations in biased semiconductor superlattices,8
nonequilibrium superconductivity near spin active interfaces,2
block renormalization group transformations and overlap fermions,16
double-weyl phonons in transitionmetal monosilicides,19
nonstandard cutoff effects in the nonlinear sigma model,16
multiepoch ultraviolet hst observations of accreting low-mass stars,18
baryon mass extrapolation,16
constraints on superearths interiors from stellar abundances,11
nonmonotonic fracture behavior of polymer nanocomposites,7
superconducting plasmonics and extraordinary transmission,12
nonrelativistic geodesic motion,6
metallic conductance at the interface of tricolor titanate superlattices,0
the nonlinear power spectrum overdensityresponse,1
intermediatesize fullerenes as degradation products of interstellar pahs,9
performance of multipurpose detectors in super b factories,5
interface solitons in thermal nonlinear media,12
multigrid monte carlo. iv. one-dimensional $o(4)$-symmetric nonlinear $\sigma$-model,16
nonlinear/noncommutative nonabelian monopoles,10
runaway and hypervelocity stars. the supernova connection,18
novel nonreciprocal acoustic effects in antiferromagnets,4
near-infrared counterparts of ultraluminous x-ray sources,13
new phase transition in polymer solutions with multicomponent solvent,7
coulomb interaction and first order superconductorinsulator transition,2
minimum bias and underlying event measurements with atlas,5
multiparty multilevel energy-time entanglement,15
multiband transit observations of the tres-2b exoplanet,11
multiparticle entanglement purification protocols,15
interacting nonequilibrium systems with two temperatures,17
topological crystalline superconductivity in locally noncentrosymmetric multilayer superconductors,2
substratesupported triplet superconductivity in dirac semimetals,2
tunnel transport through multiple junctions,8
polyelectrolyte multilayering on a charged sphere,7
the quantum trihedron,6
effects of electron-phonon interaction on nonequilibrium transport through single-molecule transistor,8
supernova kicks and misaligned be star binaries,18
current-induced superconductorinsulator transition in granular high-t_c superconductors,2
line shifts and subpc supermassive binary black holes,9
multicritical fermi surface topological transitions,0
rotating superfluid turbulence,4
nonconventional mesons at panda,3
nonlocal phenomena from noncommutative pre-planckian regime,6
understanding experimentally-observed fluctuations,14
phase transformations in binary colloidal monolayers,7
interaction and transformation of metastable defects in intercalation materials,19
"arbitrarily slow, nonquasistatic, isothermal transformations",17
the miniboone experiment,5
phase transitions in a triangular blume-capel antiferromagnet,17
interface ferromagnetism in a srmno3/lamno3 superlattice,0
closing remarks and outlook,9
extragalactic propagation of ultrahigh energy cosmic-rays,13
nonrelativistic antisnyder model and some applications,6
charged-current interaction measurements in miniboone,5
nodal-line semimetals from weyl superlattices,8
diffraction interference induced superfocusing in nonlinear talbot effect,12
antiferromagnetism and superconductivity in the half-heusler semimetal hopdbi,19
the ultravioletxray connection in agn outflows,1
antineutrinodeuteron experiment at krasnoyrsk,5
dynamics of stream-subhalo interactions,9
superconductivity in 122-type antimonide bapt$_2$sb$_2$,2
the intragroup versus the intracluster medium,1
disk fragmentation and intermittent accretion onto supermassive stars,9
rare decays with missing energy at superb,5
superconductorinsulator transition in capacitively coupled superconducting nanowires,8
minimum thermal conductivity of superlattices,19
nonsingular vortices in (s+d)-wave superconductors,2
nonparametric triaxial deprojection of elliptical galaxies,9
pseudodrag of a polariton superfluid,8
missing transverse energy significance at cms,5
a two-temperature model of magnetized protostellar outflows,18
three-dimensional simulations of magnetar-powered superluminous supernovae,13
supernova kicks and misaligned microquasars,13
nonlocal bispectra from super cosmic variance,1
transit duration variations in multiplanet systems,11
multiparton interactions and rescattering,3
the submillimetre properties of ultraluminous infrared galaxies,1
probability distributions for polymer translocation,17
multiphoton antiresonance in large-spin systems,8
multistability in nonlinear left-handed transmission lines,12
the needlet cmb trispesctrum,1
noncommutative monopole from nonlinear monopole,10
"self-organisation in protoplanetary disks: global, nonstratified hall-mhd simulations",11
pseudogaps in nested antiferromagnets,0
charge sensitivity of superconducting single-electron transistor,4
unidirectional transmission of single photons under nonideal chiral photon-atom interactions,12
multiparton interactions with an x-dependent proton size,3
diffusion and viscosity of nonentangled polyelectrolytes,7
nonlinear absorption of radio waves in a noncollinear antiferromagnet,19
supercurrent transmission through ni/ru/ni synthetic antiferromagnets,2
missing magnetism in sr$_{4}$ru$_{3}$o$_{10}$: indication for antisymmetric exchange interaction,0
multidimensional global monopole and nonsingular cosmology,6
extraordinary supernova iptf14hls: an attempt at interpretation,13
the influence of nonuniform cloud cover on transit transmission spectra,11
minimal supergravity with r-parity breaking,3
large-scale synchrony in weakly interacting automata,4
antiscalar cosmological background,6
understanding multilayers from a geometrical viewpoint,12
su(3)-breaking effects in hyperon semileptonic decays,16
half-metallic diluted antiferromagnetic semiconductors,19
cylindrical superlens by a coordinate transformation,12
tripartite entanglement-dependence of tripartite nonlocality in noninertial frame,15
orbits of four young triplelined multiple systems,18
lattice baryon spectroscopy with multiparticle interpolators,16
transmission spectrum of venus as a transiting exoplanet,11
multiboson measurements in cms,5
the effective interaction hyperspherical harmonics method for nonlocal potentials,14
supersymmetry of hyperbolic monopoles,10
mob2:a new multifunctional transition metal diboride monolayer,19
plasmonic waveguides with hyperbolic multilayer cladding,12
weak nonmesonic decay of hypernuclei,14
ultra high energy cosmic rays: subluminal and superluminal shocks,13
translation domains in multiferroics,0
production of double hypernuclei with antiprotons at panda,5
new miniboone results,5
polymer melt viscosity,17
ultrathin organic transistors on oxide surfaces,19
sn2019dge: a helium-rich ultrastripped envelope supernova,13
nonrelativistic supersymmetry in noncommutative space,10
pinning and tribology of tethered monolayers on disordered substrates,4
magnetic interaction in ultracompact binary systems,13
resonant optical nonlinearity of conjugated polymers,4
multistep effects in subcoulomb breakup,14
dark matter superfluidity,1
polyakov loops and monopoles in qcd,16
interband coupling and transport interband scattering in $s_{\pm}$ superconductors,2
may gravitons be superstrong interacting particles?,6
disc-binary interactions in depleted postagb binaries,18
decay of hypernuclei,14
interlayer interaction and electronic screening in multilayer graphene,19
superkamiokande atmospheric neutrino results,5
a tripleenergysource model for superluminous supernova iptf13ehe,13
the pseudosynchronization of binary stars undergoing strong tidal interactions,18
interactioninduced adiabatic nonlinear transport,8
subhaloes going notts: the subhalofinder comparison project,1
noncommutative supersymmetric gauge anomaly,10
confinement-induced shape transitions in multilamellar vesicles,7
nonadditivity of minimum output p-$\mathbf{r\acute{e}nyi}$ entropy,15
semileptonic b to u transition,5
"defects in superfluids, superconductors and membranes",4
feynman integrals and multiple polylogarithms,3
nonlocal superconducting quantum interference device,8
outer architecture of kepler-11: constraints from coplanarity,11
$\pi-0$ transition in superconductorferromagneticsuperconductor junctions,8
transits and occultations,11
multiple outflows in the planetary nebula ngc 6058,9
unified superradiant phase transitions,15
champagne flutes and brandy snifters: modelling protostellar outflowcloud chemical interfaces,9
reconstructing nonlinearities with intermodulation spectroscopy,8
metal-insulator transitions in interacting disordered systems,0
experimental study of antiferromagnetic resonance in noncollinear antiferromagnet mn$_{3}$al$_{2}$ge$_{3}$o$_{12}$,0
berezinskii-kosterlitz-thouless transition in spin-charge separated superconductor,4
supercurrent dephasing by electron-electron interactions,8
"overdensities of smgs around wise-selected, ultraluminous, high-redshift galaxies",9
brittle fracture of polymer transient networks,7
superbranes and superembeddings,10
a motivated nonstandard supersymmetric spectrum,3
multishell gold nanowires under compression,19
nonseparability without nonseparability in nonlinear quantum mechanics,15
the minimummass extrasolar nebula: in-situ formation of close-in superearths,11
exchange coupling induced antiferromagneticferromagnetic transition in $pr_{0.5}ca_{0.5}mno_3/la_{0.5}ca_{0.5}mno_3$ superlattices,0
nonabelian superconducting pumps,8
multiband intranight optical variability of bl lacertae,13
nonstandard antineutrino interactions at daya bay,3
relationships between nonmesonicweakdecays in different hypernuclei,14
multimode hong-ou-mandel interference,15
species doublers as super multiplet partners in lattice supersymmetry,16
non stationary einstein-maxwell fields interacting with a superconducting cosmic string,6
regularization and supersymmetryrestoring counterterms in supersymmetric qcd,3
mercury's internal structure,11
pairproduction in a semiclassical transport theory,14
order-disorder transition in the prototypical antiferroelectric pbzro$_3$,19
charge regulation of weak interacting polyelectrolytes,7
nonuniversality in imbibition,4
understanding the galaxy,9
multifractal pdf analysis for intermittent systems,17
matter-wave interferometry: towards antimatter interferometers,15
"tripletdoublet splitting, proton stability and extra dimension",3
soft-core hyperonnucleon potentials,14
nonlinear pulsations of red supergiants,18
nonlocality is transitive,15
pristine and intercalated transition metal dichalcogenide superconductors,2
collective nonthermal emission from an extragalactic jet interacting with stars,13
protoplanetary disk sizes and angular momentum transport,18
recent transits of the superearth exoplanet gj 1214b,11
generalised hyperbolicity: hypersurface singularities,6
ultraviolet extrapolations in finite oscillator bases,14
interfacial magnetoelectric coupling in tricomponent superlattices,19
multiple first-order metamagnetic transitions and quantum oscillations in ultrapure,0
baryon trilocal interpolating fields,3
multipartite minimum uncertainty products,15
triggered star formation,9
manipulating semicrystalline polymers in confinement,19
wobbling motion in triaxial superdeformed nuclei,14
falling transiting extrasolar giant planets,11
superluminous supernovae at high redshift,13
antiferromagnetic i-mn-v semiconductors,19
transitional millisecond pulsars,13
tempered transitions between thimbles,16
miniboone oscillation results 2011,5
interaction of antiprotons with nuclei,14
outbursts in ultracompact x-ray binaries,13
polyacenes and diffuse interstellar bands,9
semirelativity in semiconductors: a review,19
minimal computational-space implementation of multiround quantum protocols,15
structured light interferometry,12
"supercurrent, supervirial and superimprovement",10
nonlinear elasticity of single collapsed polyelectrolytes,7
hyperfast interstellar travel in general relativity,6
outcomes of grazing impacts between subneptunes in kepler multis,11
solar ultraviolet bursts,18
multiquark hadrons and s=-2 hypernuclei,14
magnetoelectric interactions in polycrystalline multiferroic antiferromagnets cufe(1-x)rhxo2 (x=0.00 and x=0.05),19
multiple functionality in nanotube transistors,4
semimicroscopic construction of multi$\alpha$ cluster spaces,14
nonsupersymmetric deformations of noncritical superstrings,10
supermetalinsulator transition in a nonhermitian network model,8
rates of superluminous supernovae at z~0.2,1
on nonstandard vacuua in minimal supergravity models,3
ultravista: a new ultradeep near-infrared survey in cosmos,1
hyperplasmonics: hyperbolic modes of a metal-dielectric interface,12
alloying-induced topological transition in 2d transitionmetal dichalcogenide semiconductors,19
polymer solutions: from hard monomers to soft polymers,7
anticluster decay and antialpha decay of antimatter nuclei,14
nonlinear mach-zehnder-fano interferometer,12
environment and protostellar evolution,9
fluctuating interfaces subject to stochastic resetting,17
interacting crumpled manifolds,4
superresolving multiphoton interferences with independent light sources,15
planetary transits with the alma radio interferometer,18
overlap fermions on gpus,16
ultralow dissipation superfluid micromechanical resonator,8
ionized gas velocity dispersion and multiple supernova explosions,9
symmetries in subatomic multiquark systems,3
hyperon physics-a personal overview,3
magnetic ground state of semiconducting transition metal trichalcogenide monolayers,19
transient interference of transmission and incidence,15
molecules in bipolar outflows,9
overview of antikaonnuclear quasi-bound states,14
momentum transfer models of interacting dark energy,1
conformational transition of h-shaped branched polymers,7
intermolecular adhesion in conjugated polymers,7
nonlinearly realized extended supergravity,3
ultraluminous x-ray sources as supercritical propellers,13
failed supernova remnants,13
crack patterns over uneven substrates,7
supersymmetry searches with multiple b-jets at cms,5
n=1/2 supersymmetric four-dimensional nonlinear sigma-models from nonanticommutative superspace,10
triaxiality and nonthermal gas pressure in abell 1689,1
hypervelocity planets and transits around hypervelocity stars,9
monopole spectra in nonabelian gauge theories,16
titanium-hydrogen interaction at megabar pressure,19
supernovae driven turbulence in the interstellar medium,9
hyperonnucleon interactions in effective field theory,14
nonlinear optics of semiconductors under an intense terahertz field,4
resonant nonequilibrium temperatures,17
multifragmentation of nonspherical nuclei,14
translations and dynamics,6
preaveraging description of polymer nonequilibrium stretching,7
monotone return to steady nonequilibrium,17
"minicharges, monopoles, and magnetic mixing",3
multifrequency superscattering from subwavelength hyperbolic structures,12
minimizing effective many-body interactions,14
superconductivity in rubidium substituted ba1-xrbxti2sb2o,2
the supernemo experiment,5
noncausal superluminal nonlocal signalling,15
nonequilibrium roughening transition by two-species particles,17
2014-2015 multiple outbursts of 15p/finlay,11
multiple populations of extrasolar gas giants,11
the helical superstructure of intermediate filaments,7
infinitely-many absorbing-state nonequilibrium phase transitions,17
interplay of monopoles and p-vortices,16
outflow in overlooked luminous quasar: subaru observations of akari j1757+5907,1
search for type ia supernova nuv-optical subclasses,1
antimatter gravity and antihydrogen production,3
adiabatic population transfer via multiple intermediate states,15
superheavy nuclei: relativistic mean field outlook,14
quark nova signatures in superluminous supernovae,13
"massles multi gravity: covariant, stable, two-derivative interacting massless multigraviton theories",6
coherent transport in multibranch circuits,8
subhaloes gone notts: spin across subhaloes and finders,1
subtle flickering in cepheids,18
nonlocal conductivity in type-ii superconductors,4
searches for weakly interacting supersymmetric particles,5
hyperdecoherence in density hypercubes,15
multiple bipolar molecular outflows in the l1551 irs5 protostellar system,18
transferfree fabrication of graphene transistors,8
nonhermitean de-localization: multiple scattering and bounds,4
the featureless transmission spectra of two superpuff planets,11
transport in multiterminal superconductor/ferromagnet junctions having spin-dependent interfaces,2
superhorizon magnetic fields,1
interstellar silicon depletion and the ultraviolet extinction,9
quantum-enhanced multiparameter estimation in multiarm interferometers,15
"postnewtonian factorized multipolar waveforms for spinning, nonprecessing black-hole binaries",6
gr effects in supernova neutrino flavor transformation,13
galaxy evolution in protoclusters,9
intermittency and phase transition,3
on noncoplanar hohmann transfer using angles as parameters,11
extra dimensions and atomic transition frequencies,6
on the convective overstability in protoplanetary discs,11
external enrichment of minihalos by the first supernovae,9
tuning exchange interactions in antiferromagnetic fe/w(001) by 4d transitionmetal overlayers,19
topological superconductivity in ni-based transitionmetal trichalcogenide superconductors,2
triplet forces between star polymers,7
nonabelian brane intersections,10
multiparticle clusters and intermittent fluctuations,3
spin susceptibility and superexchange interaction in the antiferromagnet cuo,0
iptf archival search for fast optical transients,13
multilayer s=1/2 heisenberg antiferromagnet,0
modelling supernova driven turbulence,9
implications of captured interstellar objects for panspermia and extraterrestrial life,11
supersymmetric gauge theories on noncommutative superspace,10
multiscale modeling of polymers at interfaces,7
interferencebased molecular transistors,8
juvenile ultracool dwarfs,18
"removing nonstationary, nonharmonic external interference from gravitational wave interferometer data",6
nonmonotonic quantum to classical transition in multiparticle interference,15
gauge transformations in nonperturbative chiral gauge theories,16
equilibrium under flow,14
free energy of twisted semiflexible polymers,7
supersymmetry and polytopes,10
ultra and hypercompact hii regions at 20 ghz,9
polymorphism of syndiotactic polystyrene crystals from multiscale simulations,7
outskirts of galaxy clusters,1
new superspaces/algebras for superparticles/strings,10
maximally nonlocal subspaces,15
conserved superenergy currents,6
multiple parton interactions studies at cms,5
translationalinvariant bipolarons and superconductivity,2
string breaking and monopoles,16
nodal-line semimetal superlattices,8
multipletype solutions for multipole interface solitons in thermal nonlinear media,12
new antiperovskitetype superconductor znnyni3,2
multipartite quantum nonlocality under local decoherence,15
nonclassical detectors and nonclassicality,15
noncollinear magnetism due to orbital degeneracy and multipolar interactions,0
multilayer graphene waveguides,12
superfluid neutron stars,6
multiparticle quantum cosmology,6
hot jupiters and superearths,11
automating ellerman bomb detection in ultraviolet continua,18
supersymmetric chameleons and ultralocal models,1
the gama panchromatic survey,1
interface induced giant magnetoelectric coupling in multiferroic superlattices,19
on cosmology in nonlinear multidimensional gravity with multiple factor spaces,6
enhanced interplanetary panspermia in the trappist-1 system,11
fabry-perot interferometry in weyl semimetals,8
"nongaussian, nondynamical stochastic resonance",17
nonlinear self-duality and supersymmetry,10
understanding electron-doped cuprate superconductors as hole superconductors,2
internal conversion electrons and supernova light curves,18
supersample cmb lensing,1
polyelectrolytecolloid complexes: polarizability and effective interaction,7
kaons: review and outlook,5
ultrafiltration modeling of nonionic microgels,7
superluminal black holes,6
$\cal{pt}$ symmetric models with nonlinear pseudo supersymmetry,15
ferromagnet/insulator/ferroelectric nanometer multilayer for multiferroictronics,19
the veritas extragalactic nonblazar program,13
nonextensive diffusion as nonlinear response,17
nonlocal transport mediated by spin-supercurrents,8
frictional dissipation of polymeric solids vs interfacial glass transition,7
submillimeter follow-up of wise-selected hyperluminous galaxies,1
substellar multiplicity in the hyades cluster,18
measuring charged-current muon neutrino interactions in miniboone,5
transverse spin and transverse momentum effects at compass,5
spin-orbital gap of multiorbital antiferromagnet,0
supersymmetry: experimental status,5
the virgo overdensity explained,9
multifractal dimension spectra in polymer physics,4
mining the herschel-atlas: submillimeterselected blazars in equatorial fields,1
antilocalization of graphene under substrate electric field,8
proton decay and substructure,3
interactioninduced phase transitions of type-ii weyl semimetals,0
nonlinear structure formation in nonlocal gravity,1
nonhermitian anderson transport,12
background issues at superdafne,5
noncollinear spin transfer in co/cu/co multilayers,19
dynamics of interfaces in superconductors,4
multidimensional cosmology for intersecting p-branes with static internal spaces,6
angular momentum transport in stellar interiors,18
supersymmetric transformations in coupled-channel systems,14
dynamical structure factor of triangularlattice antiferromagnet,0
kinetic freeze out,14
spin-wave nonreciprocity based on interband magnonic transitions,8
all-sky interferometry with spherical harmonic transit telescopes,1
nontopological soliton in three-dimensional supergravity,6
"multicomponent, rigidly rotating polytropes: improved and extended theory",9
pulsar glitch substructure and pulsar interiors,18
spin transfer torque as a nonconservative pseudofield,8
near-infrared transit photometry of extrasolar planet hat-p-54b,11
electron locking in semiconductor superlattices,4
nonequilibrium transitions induced by multiplicative noise,4
parity nonconserving cold neutron-parahydrogen interactions,14
multiple mass solvers,16
lattice supersymmetric ward identities,16
the supernovaregulated ism. i. the multiphase structure,9
dynamic transition in supercritical iron,17
gap formation and stability in nonisothermal protoplanetary discs,11
nonperturbative renormalisation for overlap fermions,16
scattering matrix theory for nonlinear transport,4
is the universe transparent?,1
nonequilibrium transport response from equilibrium transport theory,8
nonlocality without nonlocality,15
nongaussian distributions under scrutiny,17
nonlocal pseudopotentials and magnetic fields,4
nontrivial fermion states in supersymmetric minisuperspace,6
size distribution of superbubbles,9
facets of nonlocal correlation under nonhermitian system,15
deconfinement transition and monopoles in $t\neq0$ $su(2)$ qcd,16
"reissner-nordstr\""om geometry counterpart in semiclassical gravity",6
janus monolayer transition metal dichalcogenides,19
nonlinear interferometric vibrational imaging,12
topics in nonperturbative qcd,16
ultracool dwarf science from widefield multiepoch surveys,18
ideal near-dirac triplepoint semimetal in iii-v semiconductor alloys,19
nonrelativistic superstring theories,10
nonrelativistic supersymmetric dp branes,10
transport calculations of antiprotonnucleus interactions,14
scaling in interactionassisted coherent transport,4
epitaxial graphene/ge interfaces: a minireview,19
supercurrent interference in semiconductor nanowire josephson junctions,8
overview of lhcb,5
nonhysteretic superconducting quantum interference proximity transistor with enhanced responsivity,2
interpretation of the extragalactic radio background,1
transientgrating single-shot supercontinuum spectral interferometry (tg-sssi),12
nonstandard neutrino interactions,3
stellar granulation and interferometry,18
a transiting jupiter analog,11
a 3d radiative transfer framework: xi. multilevel nlte,18
charting generalized supersoft supersymmetry,3
"superembeddings, nonlinear supersymmetry and 5-branes",10
archetypal soft-mode driven antipolar transition in francisite cu3bi(seo3)2o2cl,19
miniboone oscillation results,5
robust multipartite multilevel quantum protocols,15
supersymmetric laser arrays,12
twist-deformed supersymmetries in nonanticommutative superspaces,10
nonlinear chiral transport in dirac semimetals,8
the triply eclipsing hierarchical triple star kic002856960,18
spin-flop transition in antiferromagnetic multilayers,19
prospects for antineutrino running at miniboone,5
exclusive rho-0 electroproduction on transversely polarized protons,5
multipolar interference for nonreciprocal nonlinear generation,12
multidimensional topological foam,6
hypertriton electric polarizability,14
localized supersoft supersymmetry breaking,3
mitigation of interchannel nonlinear interference in wdm systems,12
understanding cygnus x-3 through multiwavelength studies,13
nonlinear sigma-model for odd triplet superconductivity in superconductor/ferromagnet structures,2
galactic archaeology: current surveys,9
clifford algebra and space-time transformations: lorentz transformation and inertial transformation,6
semiflexible compact polymers in two dimensional nonhomogeneous confinement,17
viscous fingering at ultralow interfacial tension,7
supereddington accretion in ultraluminous neutron star binary,13
on the period-ratio-mass-ratio correlation of extrasolar multiplanet systems,11
nonassociativity as gravity,6
subchandrasekhar mass models for type ia supernovae,13
the miniboone experiment : an overview,5
transient dynamics of a superconducting nonlinear oscillator,2
autonomous multipartite entanglement engines,15
the interacting and nonconstant cosmological constant,1
probing extrasolar planetary systems with interstellar meteors,11
multiphase outflows as probes of agn accretion history,9
interacting parametrized postfriedmann method,1
nonperturbative quark mass renormalization,16
three-form inflation and nongaussianity,1
nonthermal excitation and ionization in supernovae,18
two-bands superconductivity with intra and interband pairing for synthetic superlattices,2
subdiffusive transport in heterogeneous patchy environments,17
ultrasoft sources as supernova type ia progenitors,18
antisymmetric magnetoresistance of the srtio3/laalo3 interface,0
multiscale analysis of subwavelength imaging with metal-dielectric multilayers,12
noncircular motions in the outer perseus spiral arm,9
chaotic front dynamics in semiconductor superlattices,4
supergiants transiting towards white dwarf,18
the multiwavelength counterparts of fast radio bursts,13
spin physics with antiprotons,5
nonreciprocal brillouin scattering induced transparency,12
temporal studies of supergiant fast x-ray transients,13
two-dimensional $\mathcal{n}=2$ superyangmills theory,16
subtle interface magnetism of fe/au multilayers,19
surfactant-mediated growth of nonequilibrium interfaces,4
"nonlocality, contextuality and transition sets",15
the birth rate of subluminous and overluminous type ia supernovae,18
double phase transition in the triangular antiferromagnet ba$_3$cota$_2$o$_9$,19
