text,label
explicit nonnormal modal logic,4
cooperative games with overlapping coalitions,3
adaptive semiglobal nonlinear output regulation:an extended-state observer approach,8
dynamic set intersection,11
parameter selection in periodic nonuniform sampling of multiband signals,8
regularized nonmonotone submodular maximization,11
bootstrapping real-world deployment of future internet architectures,9
analyzing whole-body pose transitions in multicontact motions,15
an internet heartbeat,9
robust contraction analysis of nonlinear systems via differential iqc,8
a new protocol for 1-2 oblivious transfer,0
advances in malware detection- an overview,0
weighted modal transition systems,4
multiple window moving horizon estimation,8
optical multicast routing under light splitter constraints,9
annotation based automatic action processing,7
convergence of datalog over (pre-) semirings,10
random assignment with multiunit demands,3
"acutely triangulated, stacked, and very ununfoldable polyhedra",19
feedback motion planning for long-range autonomous underwater vehicles,15
constructing antidictionaries in outputsensitive space,11
towards a flexible intratrustcenter management protocol,0
interval consensus for multiagent networks,8
repairnator patches programs automatically,13
stable outcomes for two-sided contract choice problems,3
"sculpt, deploy, repeat: fast prototyping of interactive physical objects",14
multimodal feedback for active robot-object interaction,15
mechanisms of intermediary platforms,16
structured minimally supervised learning for neural relation extraction,6
nonspatial probabilistic condorcet election methodology,3
fast multipointevaluation of bivariate polynomials,11
the multieventclass synchronization (mecs) algorithm,14
geodesic-preserving polygon simplification,19
knowledge-aware autoencoders for explainable recommender sytems,7
intersection type distributors,4
performance analysis of csma/ca protocols with multipacket transmission,9
strongly exponential separation between monotone vp and monotone vnp,17
mixed-granularity human-swarm interaction,15
generalizing virtual values to multidimensional auctions: a nonmyersonian approach,3
noncontact thermal and vibrotactile display using focused airborne ultrasound,14
antifragility for intelligent autonomous systems,18
improving hri through robot architecture transparency,15
high-level multithreading in hprolog,2
automatically extracting web api specifications from html documentation,13
the generalized a* architecture,18
"efficient multiparty interactive coding for insertions, deletions and substitutions",11
multisource neural translation,6
above surface interaction for multiscale navigation in mobile virtual reality,14
isometric diamond subgraphs,19
avclass2: massive malware tag extraction from av labels,0
fair cake division under monotone likelihood ratios,3
risk-aware submodular optimization for multiobjective travelling salesperson problem,15
machine learning-based interbeam intercell interference mitigation in mmwave,9
hyperorthogonal well-folded hilbert curves,19
an intermittent click planning model,14
tripbased public transit routing,11
interactive semiautomated specification mining for debugging: an experience report,13
approximating the maximum overlap of polygons under translation,19
automatic testing and improvement of machine translation,13
l'entreprise franco-roumaine face au internet,16
a novel quorum protocol,5
understanding chatbot-mediated task management,14
interparadigm translation of process models using simulation and mining,13
streaming multimedia over wmsns: an online multipath routing protocol,9
approximate polytope membership queries,19
a customisable underwater robot,15
automated building image extraction from 360{\deg} panoramas for postdisaster evaluation,12
utility mining across multidimensional sequences,10
adversarial collaborative autoencoder for top-n recommendation,7
using multiple subwords to improve english-esperanto automated literary translation quality,6
submodular maximization over sliding windows,11
automated discovery of data transformations for robotic process automation,18
understanding mental models of ai through player-ai interaction,14
time-space trade-off algorithms for triangulating a simple polygon,19
"interactive realizability, monads and witness extraction",4
step-change in friction under electrovibration,14
counting triangles under updates in worst-case optimal time,10
separability of lyapunov functions for contractive monotone systems,8
model-based counterfactual synthesizer for interpretation,1
bilinear games: polynomial time algorithms for rank based subclasses,3
recurrently predicting hypergraphs,1
multimodal end-to-end autonomous driving,12
on metric multicovering problems,19
memory augmented multiinstance contrastive predictive coding for sequential recommendation,7
supporting mobile multimodal interaction with a rule-based framework,14
automatic nonlinear video editing transfer,12
qoe support for multilayered multimedia applications,9
some complete and intermediate polynomials in algebraic complexity theory,17
completeness of hoare logic over nonstandard models,4
multirobot rendezvous with visibility sensors in nonconvex environments,15
counterfactually fair prediction using multiple causal models,18
internet scale research studies using sdl-rx,16
multiple model poisson multibernoulli mixture filter for maneuvering targets,8
efficient micro-mobility using intradomain multicastbased mechanisms (m&m),9
mechanism design via optimal transport,3
noncooperative games for autonomous consumer load balancing over smart grid,3
eppstein's bound on intersecting triangles revisited,19
feedback motion planning under nongaussian uncertainty and nonconvex state constraints,15
multilayer mechanism for multicast routing in multihop cognitive radio networks,9
beagle: automated extraction and interpretation of visualizations from the web,14
multicenter federated learning,1
designing search tasks for archive search,7
deep discrete supervised hashing,7
common counterfactual belief of rationality subsumes superrationality on symmetric games,3
an automatic architecture reconstruction and refactoring framework,13
timed k-tail: automatic inference of timed automata,13
approximate recall confidence intervals,7
a case for asymmetric nonvolatile memory architecture,5
inverse queries for multidimensional spaces,10
prototypical recurrent unit,1
modeling of multipath transport,9
telecom data for efficient malaria interventions,16
solving large-scale minimumweight triangulation instances to provable optimality,19
adaptive broadcast suppression for tricklebased protocols,9
jointly optimizing sensing pipelines for multimodal mixed reality interaction,14
antichains for the automatabased approach to model-checking,4
vpspace and a transfer theorem over the reals,17
gesture based interaction nui: an overview,14
multilinear grammar: ranks and interpretations,6
multistakeholder recommendation: applications and challenges,7
zeno machines and hypercomputation,17
properties of multiwinner voting rules,3
semisupervised image-to-image translation,12
multimodal dialogue management for multiparty interaction with infants,14
the paths to choreography extraction,2
polylogarithmictime leader election in population protocols using polylogarithmic states,5
"real-world multiobject, multigrasp detection",15
reproducibility and pseudodeterminism in log-space,17
finding induced subgraphs via minimal triangulations,11
"study, representation and applications of hypergraph minimal transversals",11
"exploiting ""quantum-like interference"" in decision fusion for ranking multimodal documents",7
polynomial running times for polynomialtime oracle machines,17
transforming commercial contracts through computable contracting,16
deep submodular functions,1
uncovering voice misuse using symbolic mismatch,1
proxy voting for better outcomes,3
5-dof monocular visual localization over grid based floor,15
gemini: a generic multimodal natural interface framework for videogames,14
automode - model-based development of automotive software,13
learning language specific subnetwork for multilingual machine translation,6
cooperative opinion dynamics on multiple interdependent topics: modeling and analysis,8
tensorizing subgraph search in the supernet,1
accelerating evolutionary neural architecture search via multifidelity evaluation,18
adaptive nonlinear pattern matching automata,4
triggerflow: triggerbased orchestration of serverless workflows,5
iterative imitation policy improvement for interactive autonomous driving,15
hybrid contrastive learning of trimodal representation for multimodal sentiment analysis,18
autonomous vehicle public transportation system: scheduling and admission control,8
automating induction by reflection,4
simultaneous interval graphs,11
thread extraction for polyadic instruction sequences,2
on multiplicative multitask feature learning,1
multipathtcp in ns-3,9
robust monocular flight in cluttered outdoor environments,15
extractive summarization of call transcripts,6
archify: a recommender system of architectural design decisions,13
a transportfriendly nic for multicore/multiprocessor systems,9
contracts under moral hazard and adverse selection,3
high-quality hypergraph partitioning,11
multitask learning for argumentation mining,6
multibudgeted directed cuts,11
reversible models for wireless multichannel multiple access,9
maximal area triangles in a convex polygon,19
abstract interpretation under speculative execution,2
curriculum pre-training heterogeneous subgraph transformer for top-$n$ recommendation,7
mining precision interfaces from query logs,10
predicate abstraction with underapproximation refinement,3
privacy-preserving medical treatment system through nondeterministic finite automata,0
automatically mining program build information via signature matching,13
secure multiparty computation for interorganizational process mining,0
general linearized polynomial interpolation and its applications,9
stochastic monotone submodular maximization with queries,11
efficient support coupled frequent pattern mining over progressive databases,10
reducing misinformation in query autocompletions,7
integral action in output feedback for multiinput multioutput nonlinear systems,8
automatically discovering hidden transformation chaining constraints,18
adaptive sparse transformer for multilingual translation,6
multimodal transfer learning for grasping transparent and specular objects,15
annotating antisemitic online content. towards an applicable definition of antisemitism,16
towards social role-based interruptibility management,14
viqie: a new approach for visual query interpretation and extraction,7
automatic wrappers for large scale web extraction,10
towards ultralowlatency mmwave wi-fi for multiuser interactive virtual reality,9
scalable and interpretable product recommendations via overlapping co-clustering,7
a study on the autoregressive and nonautoregressive multilabel learning,1
the triejax architecture: accelerating graph operations through relational joins,10
"data-efficient multirobot, multitask transfer learning for trajectory tracking",15
towards fully automated manga translation,6
a common interface for multiruleengine distributed systems,5
symmetric encapsulated multimethods,2
capturing knowledge triggering in collaborative settings,16
continuous-time consensus under noninstantaneous reciprocity,8
mist: multiple instance spatial transformer network,12
interactive program synthesis,2
real-time quasi-optimal trajectory planning for autonomous underwater docking,15
ultrabot: autonomous mobile robot for indoor uv-c disinfection,15
opacity with orwellian observers and intransitive noninterference,0
semisupervised semantic segmentation with cross pseudo supervision,12
automated news summarization using transformers,6
global transitionbased nonprojective dependency parsing,6
polylogarithmic approximation for minimum planarization (almost),11
an extensible and personalizable multimodal trip planner,18
autoencoding under normalization constraints,1
robust semisupervised classification for multirelational graphs,1
dynamic algorithms for visibility polygons in simple polygons,19
multilingual translation with extensible multilingual pretraining and finetuning,6
aggregative coarsening for multilevel hypergraph partitioning,11
multiobjective robust strategy synthesis for interval markov decision processes,8
testing equivalence of polynomials under shifts,17
a queue-oriented transaction processing paradigm,10
cost-aware automatic program repair,2
multilayered model of speech,18
"interpretable deep learning: interpretation, interpretability, trustworthiness, and beyond",1
entity-relationship search over the web,7
mis on the fly,5
multifaceted ranking of news articles using postread actions,7
ab antiquo: neural protolanguage reconstruction,6
smt-based robot transition repair,15
optimal approximate polytope membership,19
counterexampleguided polynomial loop invariant generation by lagrange interpolation,13
counting small induced subgraphs satisfying monotone properties,17
resilient consensus for multiagent systems subject to differential privacy requirements,8
multiagents architecture for semantic retrieving video in distributed environment,7
learning nondiscriminatory predictors,1
minimax strikes back,18
overview of the ibm neural computer architecture,5
hurry-up: scaling web search on big/little multicore architectures,5
a covert data transport protocol,0
pptaxi: nonstop package delivery via multihop ridesharing,5
chocolatine: outage detection for internet background radiation,9
interactive realizers and monads,4
interpreting blackbox models via model extraction,1
polynomial chaos-based adaptive control for nonlinear systems,8
recognising multidimensional euclidean preferences,3
securing parallel-chain protocols under variable mining power,0
semisupervised feature analysis by mining correlations among multiple tasks,1
transform invariant autoencoder,12
interoperability and standardization of intercloud cloud computing,5
interference minimization in asymmetric sensor networks,19
superdeduction in lambda-bar-mu-mu-tilde,4
inriasac: simple hypernym extraction methods,6
multimodal entity alignment in hyperbolic space,18
maneuver-based driving for intervention in autonomous cars,14
constrained role mining,0
mixed reality interaction techniques,14
complex polynomials in engineering,8
multiparty dual learning,1
preference-based interactive multidocument summarisation,6
direct conversion pulsed uwb transceiver architecture,9
learning under concept drift: an overview,18
sensor management for multitarget tracking via multibernoulli filtering,8
minimum $2$-vertex-twinless connected spanning subgraph problem,11
automatic verification and interactive theorem proving,4
grilliot's trick in nonstandard analysis,4
characterizing automated data insights,14
transforming the structure of network interconnection and transport,16
society-in-the-loop: programming the algorithmic social contract,16
stochastic tco minimization for video transmission over ip networks,9
probabilistic parameterized polynomial time,17
multidimensional dominance drawings,11
multifaceted covid-19 outbreak,16
uniform interpolation via nested sequents and hypersequents,4
multiplicative updates for nonnegative kernel svm,1
networked control under random and malicious packet losses,8
an autotuning framework for autonomous vehicles,15
improved pseudorandom generators from pseudorandom multiswitching lemmas,17
realizing omega-regular hyperproperties,4
multidimensional transformationbased learning,6
design considerations for low power internet protocols,9
distributed assignment with limited communication for multirobot multitarget tracking,15
public intervention strategies for distressed communities,16
multilabel transfer learning for multirelational semantic similarity,6
minimumarea enclosing triangle with a fixed angle,19
attention-aware multistroke style transfer,12
reaching consensus under a deadline,16
exploiting subgraph structure in multirobot path planning,18
reconstructing a polyhedron between polygons in parallel slices,19
frequent itemsets mining for database autoadministration,10
an automatic schema-instance approach for merging multidimensional data warehouses,10
improving visualization interpretation using counterfactuals,14
coherent interaction graphs,4
topology for substrate routing in semiconductor package design,19
on scalable supervisory control of multiagent discrete-event systems,8
superfast 3-ruling sets,5
parsing transformative lr(1) languages,2
multilabel ranking: mining multilabel and label ranking data,1
panda: panoptic data augmentation,12
multioutcome and multidimensional market scoring rules,3
minimum error tree decomposition,18
multilevel loop-less algorithm for multiset permutations,11
a fully automatic problem solver with human-style output,18
robust revenue maximization under minimal statistical information,3
provenance for interactive visualizations,10
drawing outer1planar graphs revisited,19
on cloud-based oversubscription,5
autocalibration subsystem for cable-driven parallel robots,15
specular-to-diffuse translation for multiview reconstruction,12
semi automatic construction of shex and shacl schemas,10
decentralized abstractions for feedback interconnected multiagent systems,8
generic preferences over subsets of structured objects,18
euler transformation of polyhedral complexes,19
eliminating tight coupling using subscriptions subgrouping in structured overlays,5
determination of checkpointing intervals for malleable applications,5
multibody nonrigid structure-from-motion,12
context-aware cross-attention for nonautoregressive translation,6
fingerpad contact evolution under electrovibration,14
automated dynamic mechanism design,3
transmed: transformers advance multimodal medical image classification,12
evomaster: evolutionary multicontext automated system test generation,13
a framework for interoperability,2
duty-cycle-aware minimumenergy multicasting in wireless sensor networks,9
exploit multiple reference graphs for semisupervised relation extraction,6
promise problems meet pseudodeterminism,17
hybrid interest modeling for long-tailed users,7
semiautomated labeling of requirement datasets for relation extraction,13
subexponential parameterized algorithm for minimum fill-in,11
weakly-supervised domain adaption for aspect extraction via multilevel interaction transfer,6
semisupervised verified feedback generation,13
nonmonotonic snapshot isolation,5
haskell's overlooked object system,2
field trial on ocean estimation for multivessel multifloatbased active perception,15
semisupervised autoencoder for sentiment analysis,1
lp-based algorithms for multistage minimization problems,11
self-reference ultrawideband systems,9
graph contrastive learning automated,1
the social dilemma of autonomous vehicles,16
conic multitask classification,1
preferential multicontext systems,18
automatically enforcing fresh and consistent inputs in intermittent systems,2
subexponentialtime algorithms for finding large induced sparse subgraphs,17
discovering markov blanket from multiple interventional datasets,18
from malware signatures to antivirus assisted attacks,0
bounded multivariate surfaces on monovariate internal functions,12
interplane intersatellite connectivity in dense leo constellations,9
nonidempotent intersection types in logical form,4
double neural counterfactual regret minimization,18
code-aware combinatorial interaction testing,13
at2: asynchronous trustworthy transfers,5
pseudozernike based multipass automatic target recognition from multichannel sar,12
autodocumenation for software development,13
understanding what drives bitcoin trading activities,16
constructing intrinsic delaunay triangulations of submanifolds,19
minimaltime synthesis for parametric timed automata,4
algorithm for decentralized cooperative positioning of multiple autonomous agents,15
multifidelity multiobjective bayesian optimization: an output space entropy search approach,18
convex hulls under uncertainty,19
minimal supervision for morphological inflection,6
multirefactor: automated refactoring to improve software quality,13
interchoice dependent supernetwork weights,1
robust uncertainty-aware multiview triangulation,12
constraint satisfaction problems over semilattice block mal'tsev algebras,4
achieving multitasking robots in multirobot tasks,15
multitask transformation learning for robust outofdistribution detection,12
the hierarchy of hyperlogics,4
towards partner-aware humanoid robot control under physical interactions,15
belief state planning for autonomously navigating urban intersections,15
language-based video editing via multimodal multilevel transformer,12
multiunit facility location games,3
interclausal logic variables,2
fast multisubset transform and weighted sums over acyclic digraphs,11
translating nondeterministic functional language based on attribute grammars into java,2
parametric timed broadcast protocols,4
a routing metric for interflow interferenceaware flying multihop networks,9
confirmation detection in human-agent interaction using nonlexical speech cues,14
extract method refactoring by successive edge contraction,13
semistreaming set cover,11
automatic leaf extraction from outdoor images,12
autonomous planning for multiple aerial cinematographers,15
facilitating exploration with interaction snapshots under high latency,14
sequential posted pricing and multiparameter mechanism design,3
dialectica interpretation with marked counterexamples,4
mimosa: reducing malware analysis overhead with coverings,0
query-driven frequent co-occurring term extraction over relational data using mapreduce,10
markov automata with multiple objectives,4
semiautonomous intersection collision avoidance through job-shop scheduling,8
line-of-sight pursuit in monotone and scallop polygons,19
fine-grained pseudocode generation method via code feature extraction and transformer,13
completely automated equivalence proofs,2
can underwater robotics technology save submerged cultural heritage?,15
single time-stamped tries for retroactive call subsumption,2
sequen-c: a multilevel overview of temporal event sequences,14
footstep planning for autonomous walking over rough terrain,15
human collective visualization transparency,14
polynomial interpretations for higher-order rewriting,4
deep transductive semisupervised maximum margin clustering,1
the hpim-dm multicast routing protocol,9
the pseudodimension of near-optimal auctions,3
transformation of communication processes: data journalism,16
warehousing complex archaeological objects,10
rapid-convergent nonlinear differentiator,8
internet protocol black holes: a e-security threat,9
nonaligned drawings of planar graphs,19
an interaction index for multichoice games,3
a polynomial time {\lambda}-calculus with multithreading and side effects,2
video superresolution transformer,12
rotation-k affine-power-affine-like multiple substitutionboxes for secure communication,0
automated detection of serializability violations under weak consistency,2
communication-aware multirobot coordination with submodular maximization,15
transportbased counterfactual models,18
sharing nonanonymous costs of multiple resources optimally,3
"monochromatic triangles, triangle listing and apsp",17
human-robot interaction: applications,15
extraction of common conceptual components from multiple ontologies,18
on the interactions between multiple overlapping wlans using channel bonding,9
hypergraph partitioning for sparse matrix-matrix multiplication,5
visibility-monotonic polygon deflation,19
maas and gdpr: an overview,16
polynomialtime algorithms for submodular laplacian systems,11
investigating the multidisciplinary perspective of perceived safety in human-robot interaction,14
multilevel network games,3
implementing choreography extraction,2
algorithmic discrepancy minimization,11
asynchronous multitape automata intersection: undecidability and approximation,4
